[S02DA03, antipyrine, The metabolism of Antipyrine can be increased when combined with Carbamazepine.]
[L04AA13, leflunomide, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Leflunomide.]
[A02AD04, hydrotalcite, Hydrotalcite can cause a decrease in the absorption of Carbamazepine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N01AB07, desflurane, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Desflurane.]
[A04AA03, tropisetron, Tropisetron may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[C04AX28, ifenprodil, Carbamazepine may increase the Change in thyroid function activities of Ifenprodil.]
[A10BX03, nateglinide, The metabolism of Carbamazepine can be decreased when combined with Nateglinide.]
[N02BA16, imidazole-2-hydroxybenzoate, Imidazole salicylate may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[L01BB07, nelarabine, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Nelarabine.]
[J01FA15, telithromycin, The metabolism of Carbamazepine can be decreased when combined with Telithromycin.]
[R03BA08, ciclesonide, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Ciclesonide.]
[B01AC10, indobufen, Indobufen may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[R06AX27, desloratadine, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Desloratadine.]
[J05AB14, valganciclovir, Valganciclovir may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[C05BB03, invert sugar, Invert sugar may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[V08AB09, iodixanol, Iodixanol may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[V08AB05, iopromide, Iopromide may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[V08AB07, ioversol, Ioversol may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[V08AB12, ioxilan, Ioxilan may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[M01AH03, valdecoxib, The metabolism of Valdecoxib can be increased when combined with Carbamazepine.]
[N02CC05, almotriptan, The metabolism of Almotriptan can be increased when combined with Carbamazepine.]
[M01AH04, parecoxib, The metabolism of Parecoxib can be increased when combined with Carbamazepine.]
[J02AC02, itraconazole, The metabolism of Carbamazepine can be decreased when combined with Itraconazole.]
[B01AB12, bemiparin, The risk or severity of bleeding can be increased when Bemiparin is combined with Carbamazepine.]
[S01AD03, acyclovir, The metabolism of Acyclovir can be increased when combined with Carbamazepine.]
[N05BA10, ketazolam, The metabolism of Carbamazepine can be decreased when combined with Ketazolam.]
[M01AA06, kebuzone, Kebuzone may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[L02BA03, fulvestrant, The metabolism of Fulvestrant can be increased when combined with Carbamazepine.]
[L01EA01, imatinib, The metabolism of Imatinib can be increased when combined with Carbamazepine.]
[J02AC04, posaconazole, The metabolism of Carbamazepine can be decreased when combined with Posaconazole.]
[A02BC05, esomeprazole, The metabolism of Esomeprazole can be increased when combined with Carbamazepine.]
[C08CA09, lacidipine, The metabolism of Lacidipine can be increased when combined with Carbamazepine.]
[N03AX09, lamotrigine, The metabolism of Lamotrigine can be increased when combined with Carbamazepine.]
[S01BA03, cortisone, The metabolism of Carbamazepine can be increased when combined with Cortisone.]
[N07BC04, lofexidine, The therapeutic efficacy of Carbamazepine can be increased when used in combination with Lofexidine.]
[S01AE04, lomefloxacin, The metabolism of Lomefloxacin can be increased when combined with Carbamazepine.]
[M01AB09, lonazolac, Lonazolac may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[R06AX13, loratadine, The metabolism of Loratadine can be increased when combined with Carbamazepine.]
[N05CD06, lormetazepam, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Lormetazepam.]
[H01AA02, cosyntropin, The risk or severity of liver damage can be increased when Tetracosactide is combined with Carbamazepine.]
[M02AA31, loxoprofen, Loxoprofen may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[J01DC08, loracarbef, Loracarbef may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[C09AA03, lisinopril, Lisinopril may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[A02AD02, magaldrate, Magaldrate can cause a decrease in the absorption of Carbamazepine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A06AD01, magnesium carbonate, Magnesium carbonate can cause a decrease in the absorption of Carbamazepine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[C08CA11, manidipine, The metabolism of Carbamazepine can be decreased when combined with Manidipine.]
[A03AA04, mebeverine, Carbamazepine may increase the central nervous system depressant (CNS depressant) activities of Mebeverine.]
[N06AX13, medifoxamine, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Medifoxamine.]
[H02AB15, meprednisone, The metabolism of Carbamazepine can be increased when combined with Meprednisone.]
[R06AD07, mequitazine, The metabolism of Carbamazepine can be decreased when combined with Mequitazine.]
[J01DH02, meropenem, Meropenem may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[C01EB10, adenosine, Carbamazepine may increase the atrioventricular blocking (AV block) activities of Adenosine.]
[R06AD04, methdilazine, The therapeutic efficacy of Carbamazepine can be decreased when used in combination with Methdilazine.]
[N04AA03, methixene, Carbamazepine may increase the central nervous system depressant (CNS depressant) activities of Metixene.]
[C04AX01, cyclandelate, The metabolism of Cyclandelate can be increased when combined with Carbamazepine.]
[R03CB02, methoxyphenamine, The risk or severity of serotonin syndrome can be increased when Carbamazepine is combined with Methoxyphenamine.]
[R06AE03, cyclizine, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Cyclizine.]
[N05CA10, cyclobarbital, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Cyclobarbital.]
[C03DA04, eplerenone, The metabolism of Carbamazepine can be decreased when combined with Eplerenone.]
[N05AD03, metylperon, Melperone may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[L04AA15, alefacept, The risk or severity of adverse effects can be increased when Alefacept is combined with Carbamazepine.]
[C03AA07, cyclopenthiazide, The risk or severity of adverse effects can be increased when Cyclopenthiazide is combined with Carbamazepine.]
[J01FA03, midecamycin, The metabolism of Carbamazepine can be decreased when combined with Midecamycin.]
[J05AF07, tenofovir disoproxil, The serum concentration of Tenofovir disoproxil can be decreased when it is combined with Carbamazepine.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be increased when combined with Carbamazepine.]
[N06AX07, minaprine, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Minaprine.]
[S01XA18, cyclosporine, The serum concentration of Cyclosporine can be decreased when it is combined with Carbamazepine.]
[N06AG02, moclobemide, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Moclobemide.]
[N06BA07, modafinil, The metabolism of Carbamazepine can be increased when combined with Modafinil.]
[R06AX02, cyproheptadine, Carbamazepine may increase the central nervous system depressant (CNS depressant) activities of Cyproheptadine.]
[C10AA07, rosuvastatin, The metabolism of Carbamazepine can be decreased when combined with Rosuvastatin.]
[M02AA02, mofebutazone, Mofebutazone may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[M01AX22, morniflumate, Morniflumate may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[C03XA02, conivaptan, The metabolism of Carbamazepine can be decreased when combined with Conivaptan.]
[L01BC01, cytarabine, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Cytarabine.]
[J05AF10, entecavir, The metabolism of Entecavir can be increased when combined with Carbamazepine.]
[G04BE09, vardenafil, The metabolism of Carbamazepine can be decreased when combined with Vardenafil.]
[M01AH05, etoricoxib, The metabolism of Carbamazepine can be decreased when combined with Etoricoxib.]
[L01AX04, dacarbazine, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Dacarbazine.]
[L01DA01, dactinomycin, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Dactinomycin.]
[G03XA01, danazol, The metabolism of Carbamazepine can be decreased when combined with Danazol.]
[M03CA01, dantrolene, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Dantrolene.]
[J04BA02, dapsone, The metabolism of Carbamazepine can be decreased when combined with Dapsone.]
[L01DB02, daunorubicin, The metabolism of Carbamazepine can be decreased when combined with Daunorubicin.]
[N06BX04, deanol, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Deanol.]
[A04AD11, nabilone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Carbamazepine.]
[M01AX01, nabumetone, The metabolism of Nabumetone can be increased when combined with Carbamazepine.]
[N07BB05, nalmefene, Nalmefene may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[N05BA16, nordazepam, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Nordazepam.]
