[P02BB01, trichlorfon, The therapeutic efficacy of Metrifonate can be decreased when used in combination with Mometasone.]
[M02AA01, phenylbutazone, The risk or severity of gastrointestinal irritation can be increased when Mometasone is combined with Phenylbutazone.]
[S01GA05, phenylephrine, The risk or severity of hypertension can be increased when Mometasone is combined with Phenylephrine.]
[R01BA01, phenylpropanolamine, The risk or severity of hypokalemia can be increased when Mometasone is combined with Phenylpropanolamine.]
[N03AB02, phenytoin, The serum concentration of Mometasone can be decreased when it is combined with Phenytoin.]
[L04AB06, golimumab, The risk or severity of adverse effects can be increased when Mometasone is combined with Golimumab.]
[S01AE05, levofloxacin, The risk or severity of tendinopathy can be increased when Mometasone is combined with Levofloxacin.]
[V03AB19, physostigmine, The therapeutic efficacy of Physostigmine can be decreased when used in combination with Mometasone.]
[L02BB03, bicalutamide, The metabolism of Bicalutamide can be increased when combined with Mometasone.]
[N05AG02, pimozide, The metabolism of Pimozide can be increased when combined with Mometasone.]
[C10AA05, atorvastatin, The metabolism of Atorvastatin can be increased when combined with Mometasone.]
[J05AE01, saquinavir, The metabolism of Saquinavir can be increased when combined with Mometasone.]
[S01BC06, piroxicam, The risk or severity of gastrointestinal irritation can be increased when Mometasone is combined with Piroxicam.]
[J01MA11, grepafloxacin, The risk or severity of tendinopathy can be increased when Mometasone is combined with Grepafloxacin.]
[C09CA04, irbesartan, The metabolism of Irbesartan can be decreased when combined with Mometasone.]
[D05AX05, tazarotene, The metabolism of Tazarotene can be decreased when combined with Mometasone.]
[A10BG02, rosiglitazone, The risk or severity of hyperglycemia can be increased when Mometasone is combined with Rosiglitazone.]
[L02BG03, anastrozole, The metabolism of Anastrozole can be decreased when combined with Mometasone.]
[L04AC08, canakinumab, The risk or severity of adverse effects can be increased when Mometasone is combined with Canakinumab.]
[C03AA05, polythiazide, The risk or severity of electrolyte imbalance can be increased when Mometasone is combined with Polythiazide.]
[J05AE03, ritonavir, The serum concentration of Mometasone can be increased when it is combined with Ritonavir.]
[A10BH03, saxagliptin, The risk or severity of hyperglycemia can be increased when Mometasone is combined with Saxagliptin.]
[A10AD04, insulin lispro, The risk or severity of hyperglycemia can be increased when Mometasone is combined with Insulin lispro.]
[C10AA08, pitavastatin, The metabolism of Pitavastatin can be decreased when combined with Mometasone.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be increased when combined with Mometasone.]
[S03BA02, prednisolone, The risk or severity of adverse effects can be increased when Mometasone is combined with Prednisolone.]
[H02AB07, prednisone, The risk or severity of adverse effects can be increased when Prednisone is combined with Mometasone.]
[C01BA02, procainamide, The therapeutic efficacy of Procainamide can be decreased when used in combination with Mometasone.]
[S01HA05, procaine, The therapeutic efficacy of Procaine can be decreased when used in combination with Mometasone.]
[L01XB01, procarbazine, The risk or severity of adverse effects can be increased when Mometasone is combined with Procarbazine.]
[C10AB05, fenofibrate, The metabolism of Fenofibrate can be increased when combined with Mometasone.]
[G03DA04, progesterone, The serum concentration of Mometasone can be increased when it is combined with Progesterone.]
[L01XH02, romidepsin, The metabolism of Romidepsin can be increased when combined with Mometasone.]
[N01AX10, propofol, The metabolism of Propofol can be decreased when combined with Mometasone.]
[C07AA05, propranolol, The metabolism of Propranolol can be increased when combined with Mometasone.]
[H03BA02, propylthiouracil, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Mometasone.]
[R03DC03, montelukast, The metabolism of Montelukast can be decreased when combined with Mometasone.]
[N05AX12, aripiprazole, The metabolism of Aripiprazole can be increased when combined with Mometasone.]
[P02CC01, pyrantel, The risk or severity of myopathy and weakness can be increased when Pyrantel is combined with Mometasone.]
[J06BB05, rabies immune globulin, human, The therapeutic efficacy of Rabies immune globulin, human can be decreased when used in combination with Mometasone.]
[N07AA02, pyridostigmine, The therapeutic efficacy of Pyridostigmine can be decreased when used in combination with Mometasone.]
[P01AX05, quinacrine, The metabolism of Quinacrine can be increased when combined with Mometasone.]
[C01BA01, quinidine, The metabolism of Quinidine can be increased when combined with Mometasone.]
[P01BC01, quinine, The risk or severity of hyperglycemia can be increased when Mometasone is combined with Quinine.]
[G02CA01, ritodrine, The risk or severity of hypokalemia can be increased when Mometasone is combined with Ritodrine.]
[N02BA05, salicylamide, The risk or severity of gastrointestinal irritation can be increased when Mometasone is combined with Salicylamide.]
[A07EC01, sulfasalazine, The risk or severity of gastrointestinal irritation can be increased when Mometasone is combined with Sulfasalazine.]
[S01BC08, salicylic acid, The risk or severity of gastrointestinal irritation can be increased when Mometasone is combined with Salicylic acid.]
[N04BD01, selegiline, The metabolism of Selegiline can be decreased when combined with Mometasone.]
[L01FA03, obinutuzumab, The risk or severity of adverse effects can be increased when Mometasone is combined with Obinutuzumab.]
[M05BX04, denosumab, The risk or severity of adverse effects can be increased when Denosumab is combined with Mometasone.]
[L01CD04, cabazitaxel, The metabolism of Cabazitaxel can be increased when combined with Mometasone.]
[L03AX17, sipuleucel-T, The therapeutic efficacy of Sipuleucel-T can be decreased when used in combination with Mometasone.]
[D07AB02, hydrocortisone butyrate, The risk or severity of adverse effects can be increased when Mometasone is combined with Hydrocortisone butyrate.]
[P02BB01, trichlorfon, The therapeutic efficacy of Metrifonate can be decreased when used in combination with Mometasone furoate.]
[S02DA03, antipyrine, The risk or severity of gastrointestinal irritation can be increased when Mometasone furoate is combined with Antipyrine.]
[A14AA02, stanozolol, The risk or severity of fluid retention can be increased when Mometasone furoate is combined with Stanozolol.]
[G03XB02, ulipristal, The serum concentration of Mometasone furoate can be increased when it is combined with Ulipristal.]
[L04AA04, rabbit anti-human T-lymphocyte globulin, The risk or severity of adverse effects can be increased when Antithymocyte immunoglobulin (rabbit) is combined with Mometasone furoate.]
[L01AD04, streptozocin, The risk or severity of adverse effects can be increased when Streptozocin is combined with Mometasone furoate.]
[L04AA27, fingolimod, Mometasone furoate may increase the immunosuppressive activities of Fingolimod.]
[M03AB01, succinylcholine, The risk or severity of myopathy and weakness can be increased when Succinylcholine is combined with Mometasone furoate.]
[J01EC02, sulfadiazine, The risk or severity of hyperglycemia can be increased when Mometasone furoate is combined with Sulfadiazine.]
[J01EC01, sulfamethoxazole, The risk or severity of myelosuppression can be increased when Sulfamethoxazole is combined with Mometasone furoate.]
[S01AB02, sulfisoxazole, The risk or severity of hyperglycemia can be increased when Mometasone furoate is combined with Sulfisoxazole.]
[M01AB02, sulindac, The risk or severity of gastrointestinal irritation can be increased when Mometasone furoate is combined with Sulindac.]
[N05AL01, sulpiride, The therapeutic efficacy of Sulpiride can be decreased when used in combination with Mometasone furoate.]
[A10BB04, glibornuride, The risk or severity of hyperglycemia can be increased when Mometasone furoate is combined with Glibornuride.]
[A10BC01, glymidine, The risk or severity of hyperglycemia can be increased when Mometasone furoate is combined with Glymidine.]
[M01AX04, apazone, The risk or severity of gastrointestinal irritation can be increased when Mometasone furoate is combined with Azapropazone.]
[L01BB02, mercaptopurine, The risk or severity of adverse effects can be increased when Mercaptopurine is combined with Mometasone furoate.]
[N06DA01, tacrine, The therapeutic efficacy of Tacrine can be decreased when used in combination with Mometasone furoate.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be increased when combined with Mometasone furoate.]
[L01CB02, teniposide, The metabolism of Teniposide can be increased when combined with Mometasone furoate.]
[R03CC03, terbutaline, The therapeutic efficacy of Terbutaline can be decreased when used in combination with Mometasone furoate.]
[G03BA03, testosterone, The risk or severity of edema formation can be increased when Testosterone is combined with Mometasone furoate.]
[N04BC07, apomorphine, The metabolism of Apomorphine can be decreased when combined with Mometasone furoate.]
[L04AX02, thalidomide, The risk or severity of adverse effects can be increased when Thalidomide is combined with Mometasone furoate.]
[R03DA04, theophylline, The metabolism of Theophylline can be increased when combined with Mometasone furoate.]
[L01XX41, eribulin, The risk or severity of adverse effects can be increased when Eribulin is combined with Mometasone furoate.]
[L01AC01, thiotepa, The therapeutic efficacy of Thiotepa can be decreased when used in combination with Mometasone furoate.]
[L01BB03, thioguanine, The risk or severity of adverse effects can be increased when Tioguanine is combined with Mometasone furoate.]
[B02AB01, aprotinin, The therapeutic efficacy of Aprotinin can be decreased when used in combination with Mometasone furoate.]
