[P02BB01, trichlorfon, The therapeutic efficacy of Tramadol can be decreased when used in combination with Metrifonate.]
[N05AH04, quetiapine, The risk or severity of serotonin syndrome can be increased when Quetiapine is combined with Tramadol.]
[N06BX13, idebenone, Tramadol may decrease the excretion rate of Idebenone which could result in a higher serum level.]
[N02CX03, iprazochrome, The risk or severity of CNS depression can be increased when Iprazochrome is combined with Tramadol.]
[L01CE02, irinotecan, The metabolism of Irinotecan can be decreased when combined with Tramadol.]
[N05CA21, allobarbital, The risk or severity of CNS depression can be increased when Allobarbital is combined with Tramadol.]
[M04AA01, allopurinol, Tramadol may decrease the excretion rate of Allopurinol which could result in a higher serum level.]
[C09CA01, losartan, The metabolism of Tramadol can be decreased when combined with Losartan.]
[B05CB03, magnesium citrate, The therapeutic efficacy of Magnesium citrate can be decreased when used in combination with Tramadol.]
[G03DC01, allylestrenol, Tramadol may decrease the excretion rate of Allylestrenol which could result in a higher serum level.]
[A07EC02, mesalamine, Mesalazine may decrease the excretion rate of Tramadol which could result in a higher serum level.]
[C01CE02, milrinone, Tramadol may decrease the excretion rate of Milrinone which could result in a higher serum level.]
[A12CD02, sodium monofluorophosphate, The therapeutic efficacy of Sodium fluorophosphate can be decreased when used in combination with Tramadol.]
[N05CA16, hexobarbital, The risk or severity of CNS depression can be increased when Hexobarbital is combined with Tramadol.]
[R03CC05, hexoprenaline, The risk or severity of Tachycardia can be increased when Tramadol is combined with Hexoprenaline.]
[J05AG01, nevirapine, The metabolism of Tramadol can be decreased when combined with Nevirapine.]
[C08CA10, nilvadipine, The metabolism of Tramadol can be decreased when combined with Nilvadipine.]
[M02AA26, nimesulide, Nimesulide may decrease the excretion rate of Tramadol which could result in a higher serum level.]
[C09AA04, perindopril, Tramadol may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[C02DB02, hydralazine, The metabolism of Tramadol can be decreased when combined with Hydralazine.]
[C03AA03, hydrochlorothiazide, Hydrochlorothiazide may increase the excretion rate of Tramadol which could result in a lower serum level and potentially a reduction in efficacy.]
[R05DA03, hydrocodone, The risk or severity of serotonin syndrome can be increased when Hydrocodone is combined with Tramadol.]
[S02BA01, hydrocortisone, The metabolism of Tramadol can be increased when combined with Hydrocortisone.]
[C03AA02, hydroflumethiazide, Hydroflumethiazide may increase the excretion rate of Tramadol which could result in a lower serum level and potentially a reduction in efficacy.]
[B05XA17, potassium acetate, Tramadol may decrease the excretion rate of Potassium acetate which could result in a higher serum level.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Tramadol which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Tramadol may decrease the excretion rate of Hydroxocobalamin which could result in a higher serum level.]
[G04BD06, propiverine, The risk or severity of adverse effects can be increased when Propiverine is combined with Tramadol.]
[P01BA02, hydroxychloroquine, The metabolism of Tramadol can be decreased when combined with Hydroxychloroquine.]
[N05AX07, prothipendyl, The risk or severity of CNS depression can be increased when Prothipendyl is combined with Tramadol.]
[B05AA07, hetastarch, Tramadol may decrease the excretion rate of Hydroxyethyl Starch which could result in a higher serum level.]
[L01XX05, hydroxyurea, The metabolism of Tramadol can be decreased when combined with Hydroxyurea.]
[N05BB01, hydroxyzine, Hydroxyzine may increase the central nervous system depressant (CNS depressant) activities of Tramadol.]
[J04AB04, rifabutin, The metabolism of Tramadol can be increased when combined with Rifabutin.]
[C02AC06, rilmenidine, The risk or severity of Tachycardia can be increased when Tramadol is combined with Rilmenidine.]
[R02AX02, ibuprofen, Ibuprofen may decrease the excretion rate of Tramadol which could result in a higher serum level.]
[B05XA08, sodium acetate, Tramadol may decrease the excretion rate of Sodium acetate which could result in a higher serum level.]
[L01DB06, idarubicin, The metabolism of Idarubicin can be decreased when combined with Tramadol.]
[A06AD21, sodium tartrate, The therapeutic efficacy of Sodium tartrate can be decreased when used in combination with Tramadol.]
[L01AA06, ifosfamide, The metabolism of Tramadol can be decreased when combined with Ifosfamide.]
[N01AH03, sufentanil, The risk or severity of serotonin syndrome can be increased when Sufentanil is combined with Tramadol.]
[N06AA02, imipramine, The risk or severity of serotonin syndrome can be increased when Imipramine is combined with Tramadol.]
[L01CD01, paclitaxel, The metabolism of Tramadol can be increased when combined with Paclitaxel.]
[R01AD07, tixocortol, Tramadol may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[M03BX02, tizanidine, The risk or severity of CNS depression can be increased when Tizanidine is combined with Tramadol.]
[L01CE01, topotecan, The metabolism of Tramadol can be decreased when combined with Topotecan.]
[C03BA11, indapamide, Indapamide may increase the excretion rate of Tramadol which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC01, indomethacin, The metabolism of Tramadol can be decreased when combined with Indomethacin.]
[A11HA07, inositol, Tramadol may decrease the excretion rate of Inositol which could result in a higher serum level.]
[N06AX17, milnacipran, The risk or severity of serotonin syndrome can be increased when Milnacipran is combined with Tramadol.]
[A03AA30, piperidolate, The risk or severity of adverse effects can be increased when Piperidolate is combined with Tramadol.]
[S01XA28, varenicline, Tramadol may decrease the excretion rate of Varenicline which could result in a higher serum level.]
[N01BB08, articaine, The risk or severity of CNS depression can be increased when Articaine is combined with Tramadol.]
[A10BH01, sitagliptin, Tramadol may decrease the excretion rate of Sitagliptin which could result in a higher serum level.]
[N05BA12, alprazolam, The risk or severity of CNS depression can be increased when Alprazolam is combined with Tramadol.]
[N05CH02, ramelteon, The risk or severity of CNS depression can be increased when Ramelteon is combined with Tramadol.]
[R06AE01, buclizine, The risk or severity of adverse effects can be increased when Buclizine is combined with Tramadol.]
[C10AA06, cerivastatin, The metabolism of Tramadol can be decreased when combined with Cerivastatin.]
[L01XX35, anagrelide, The risk or severity of Tachycardia can be increased when Tramadol is combined with Anagrelide.]
[C07AA01, alprenolol, The risk or severity of CNS depression can be increased when Alprenolol is combined with Tramadol.]
[C03BA02, quinethazone, Quinethazone may increase the excretion rate of Tramadol which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB01, ipecac, Tramadol may decrease the excretion rate of Ipecac which could result in a higher serum level.]
[N06AA13, iprindole, The risk or severity of serotonin syndrome can be increased when Iprindole is combined with Tramadol.]
[N06AF05, iproniazid, The risk or severity of serotonin syndrome and seizure can be increased when Iproniazid is combined with Tramadol.]
[N05AA07, chlorproethazine, The risk or severity of CNS depression can be increased when Chlorproethazine is combined with Tramadol.]
[N06AF01, isocarboxazid, The risk or severity of serotonin syndrome and seizure can be increased when Isocarboxazid is combined with Tramadol.]
[R03CC06, isoetharine, The risk or severity of Tachycardia can be increased when Tramadol is combined with Isoetharine.]
[N01AB06, isoflurane, The risk or severity of CNS depression can be increased when Isoflurane is combined with Tramadol.]
[S01EB07, isoflurophate, The therapeutic efficacy of Tramadol can be decreased when used in combination with Isoflurophate.]
[N04BX02, entacapone, The metabolism of Tramadol can be decreased when combined with Entacapone.]
[J04AC01, isoniazid, The risk or severity of serotonin syndrome can be increased when Isoniazid is combined with Tramadol.]
[J05AX05, inosine pranobex, Tramadol may decrease the excretion rate of Inosine pranobex which could result in a higher serum level.]
[R03CB01, isoproterenol, The therapeutic efficacy of Tramadol can be decreased when used in combination with Isoprenaline.]
[C01DA14, isosorbide mononitrate, Tramadol may decrease the excretion rate of Isosorbide mononitrate which could result in a higher serum level.]
[D10BA01, isotretinoin, Tramadol may decrease the excretion rate of Isotretinoin which could result in a higher serum level.]
[C04AA01, isoxsuprine, The risk or severity of Tachycardia can be increased when Tramadol is combined with Isoxsuprine.]
[N06AX18, reboxetine, The metabolism of Tramadol can be decreased when combined with Reboxetine.]
[S01AA24, kanamycin, Tramadol may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
[L04AC07, tocilizumab, The metabolism of Tramadol can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The metabolism of Tramadol can be increased when combined with Ketamine.]
[C02KD01, ketanserin, The risk or severity of serotonin syndrome can be increased when Ketanserin is combined with Tramadol.]
[B01AC22, prasugrel, The metabolism of Prasugrel can be decreased when combined with Tramadol.]
[J02AB02, ketoconazole, The metabolism of Tramadol can be decreased when combined with Ketoconazole.]
[H02CA04, levoketoconazole, The metabolism of Tramadol can be decreased when combined with Levoketoconazole.]
[N05AH03, olanzapine, The risk or severity of serotonin syndrome can be increased when Olanzapine is combined with Tramadol.]
[M02AA10, ketoprofen, Ketoprofen may decrease the excretion rate of Tramadol which could result in a higher serum level.]
