[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Ethinylestradiol.]
[B01AD09, ancrod, The risk or severity of adverse effects can be increased when Levonorgestrel is combined with Ancrod.]
[J01CF04, oxacillin, The therapeutic efficacy of Levonorgestrel can be decreased when used in combination with Oxacillin.]
[N02AA05, oxycodone, The metabolism of Oxycodone can be decreased when combined with Levonorgestrel.]
[S01AA04, oxytetracycline, The serum concentration of Levonorgestrel can be decreased when it is combined with Oxytetracycline.]
[B01AB09, danaparoid, The risk or severity of adverse effects can be increased when Levonorgestrel is combined with Danaparoid.]
[N05CC05, paraldehyde, The metabolism of Levonorgestrel can be increased when combined with Paraldehyde.]
[H02AB05, paramethasone, The serum concentration of Paramethasone can be increased when it is combined with Levonorgestrel.]
[S01AA14, penicillin G, The therapeutic efficacy of Levonorgestrel can be decreased when used in combination with Benzylpenicillin.]
[J01CE09, penicillin G procaine, The therapeutic efficacy of Levonorgestrel can be decreased when used in combination with Procaine benzylpenicillin.]
[J01CE02, penicillin V, The therapeutic efficacy of Levonorgestrel can be decreased when used in combination with Phenoxymethylpenicillin.]
[N05CA01, pentobarbital, The metabolism of Levonorgestrel can be increased when combined with Pentobarbital.]
[A10BA01, phenformin, The therapeutic efficacy of Phenformin can be decreased when used in combination with Levonorgestrel.]
[B01AA02, phenindione, The risk or severity of adverse effects can be increased when Levonorgestrel is combined with Phenindione.]
[N03AA02, phenobarbital, The metabolism of Levonorgestrel can be increased when combined with Phenobarbital.]
[B01AA04, phenprocoumon, The risk or severity of adverse effects can be increased when Levonorgestrel is combined with Phenprocoumon.]
[M02AA01, phenylbutazone, The metabolism of Levonorgestrel can be increased when combined with Phenylbutazone.]
[N03AB02, phenytoin, The metabolism of Levonorgestrel can be increased when combined with Phenytoin.]
[L01XF02, alitretinoin, The therapeutic efficacy of Levonorgestrel can be decreased when used in combination with Alitretinoin.]
[L04AB06, golimumab, The metabolism of Levonorgestrel can be increased when combined with Golimumab.]
[C08CX01, mibefradil, The metabolism of Levonorgestrel can be decreased when combined with Mibefradil.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Levonorgestrel.]
[C10AA05, atorvastatin, The metabolism of Atorvastatin can be decreased when combined with Levonorgestrel.]
[J01CA12, piperacillin, The therapeutic efficacy of Levonorgestrel can be decreased when used in combination with Piperacillin.]
[J05AE01, saquinavir, The metabolism of Levonorgestrel can be decreased when combined with Saquinavir.]
[J01CA02, pivampicillin, The therapeutic efficacy of Levonorgestrel can be decreased when used in combination with Pivampicillin.]
[J05AG02, delavirdine, The metabolism of Levonorgestrel can be decreased when combined with Delavirdine.]
[B01AC13, abciximab, The risk or severity of adverse effects can be increased when Levonorgestrel is combined with Abciximab.]
[D05AX05, tazarotene, The therapeutic efficacy of Levonorgestrel can be decreased when used in combination with Tazarotene.]
[S01XA13, alteplase, The risk or severity of adverse effects can be increased when Levonorgestrel is combined with Alteplase.]
[A10BG02, rosiglitazone, The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Levonorgestrel.]
[L04AC08, canakinumab, The metabolism of Levonorgestrel can be increased when combined with Canakinumab.]
[J05AE03, ritonavir, The serum concentration of Levonorgestrel can be decreased when it is combined with Ritonavir.]
[A10BH03, saxagliptin, The therapeutic efficacy of Saxagliptin can be decreased when used in combination with Levonorgestrel.]
[A10AD04, insulin lispro, The therapeutic efficacy of Insulin lispro can be decreased when used in combination with Levonorgestrel.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be decreased when combined with Levonorgestrel.]
[S03BA02, prednisolone, The serum concentration of Prednisolone can be increased when it is combined with Levonorgestrel.]
[H02AB07, prednisone, The serum concentration of Prednisone can be increased when it is combined with Levonorgestrel.]
[P01BA03, primaquine, The metabolism of Levonorgestrel can be decreased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Levonorgestrel can be increased when combined with Primidone.]
[M04AB01, probenecid, The metabolism of Levonorgestrel can be increased when combined with Probenecid.]
[G03DA04, progesterone, The metabolism of Progesterone can be decreased when combined with Levonorgestrel.]
[L01XH02, romidepsin, The metabolism of Romidepsin can be decreased when combined with Levonorgestrel.]
[C07AA05, propranolol, The metabolism of Propranolol can be decreased when combined with Levonorgestrel.]
[B01AC09, epoprostenol, The risk or severity of adverse effects can be increased when Levonorgestrel is combined with Epoprostenol.]
[N05AX12, aripiprazole, The metabolism of Aripiprazole can be decreased when combined with Levonorgestrel.]
[P01AX05, quinacrine, The metabolism of Quinacrine can be decreased when combined with Levonorgestrel.]
[P01BC01, quinine, The therapeutic efficacy of Quinine can be decreased when used in combination with Levonorgestrel.]
[C02AA02, reserpine, The metabolism of Levonorgestrel can be increased when combined with Reserpine.]
[J04AB02, rifampin, The therapeutic efficacy of Levonorgestrel can be decreased when used in combination with Rifampicin.]
[J01AA09, rolitetracycline, The serum concentration of Levonorgestrel can be decreased when it is combined with Rolitetracycline.]
[N05CA06, secobarbital, The metabolism of Levonorgestrel can be increased when combined with Secobarbital.]
[N04BD01, selegiline, The bioavailability of Selegiline can be increased when combined with Levonorgestrel.]
[L01CD04, cabazitaxel, The metabolism of Cabazitaxel can be decreased when combined with Levonorgestrel.]
[D07AC14, methylprednisolone aceponate, The serum concentration of Methylprednisolone aceponate can be increased when it is combined with Levonorgestrel.]
