[S02DA03, antipyrine, The protein binding of Valproic acid can be decreased when combined with Antipyrine.]
[V03AC03, deferasirox, The metabolism of Valproic acid can be decreased when combined with Deferasirox.]
[L04AA24, abatacept, The metabolism of Valproic acid can be increased when combined with Abatacept.]
[R06AX25, mizolastine, The risk or severity of QTc prolongation can be increased when Mizolastine is combined with Valproic acid.]
[N04BC09, rotigotine, Valproic acid may increase the sedative activities of Rotigotine.]
[J01MB02, nalidixic acid, The risk or severity of QTc prolongation can be increased when Nalidixic acid is combined with Valproic acid.]
[M01AE11, tiaprofenic acid, The protein binding of Valproic acid can be decreased when combined with Tiaprofenic acid.]
[D11AX02, gamma-linolenic acid, The therapeutic efficacy of Valproic acid can be decreased when used in combination with Gamolenic acid.]
[C07AG01, labetalol, The metabolism of Labetalol can be decreased when combined with Valproic acid.]
[N04BB01, amantadine, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Valproic acid.]
[N03AX18, lacosamide, The risk or severity of adverse effects can be increased when Valproic acid is combined with Lacosamide.]
[G03AD01, levonorgestrel, The metabolism of Levonorgestrel can be increased when combined with Valproic acid.]
[N04BA01, levodopa, The risk or severity of adverse effects can be increased when Valproic acid is combined with Levodopa.]
[S02DA01, lidocaine, The risk or severity of methemoglobinemia can be increased when Valproic acid is combined with Lidocaine.]
[C08EX01, lidoflazine, The risk or severity of QTc prolongation can be increased when Lidoflazine is combined with Valproic acid.]
[N06BA13, armodafinil, The metabolism of Valproic acid can be decreased when combined with Armodafinil.]
[D06AX13, retapamulin, The metabolism of Retapamulin can be decreased when combined with Valproic acid.]
[N02CA07, lisuride, The risk or severity of adverse effects can be increased when Valproic acid is combined with Lisuride.]
[N06AA07, lofepramine, The risk or severity of adverse effects can be increased when Valproic acid is combined with Lofepramine.]
[A07DA03, loperamide, The risk or severity of QTc prolongation can be increased when Loperamide is combined with Valproic acid.]
[N05BA06, lorazepam, The serum concentration of Lorazepam can be increased when it is combined with Valproic acid.]
[C10AA02, lovastatin, The metabolism of Lovastatin can be decreased when combined with Valproic acid.]
[N05AH01, loxapine, The risk or severity of adverse effects can be increased when Valproic acid is combined with Loxapine.]
[G03DC03, lynestrenol, The metabolism of Lynestrenol can be increased when combined with Valproic acid.]
[L01EG01, temsirolimus, The metabolism of Temsirolimus can be decreased when combined with Valproic acid.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Valproic acid can be increased when used in combination with Magnesium sulfate.]
[L01EA03, nilotinib, The metabolism of Nilotinib can be decreased when combined with Valproic acid.]
[N06AA21, maprotiline, Valproic acid may increase the central nervous system depressant (CNS depressant) activities of Maprotiline.]
[A08AA05, mazindol, The risk or severity of adverse effects can be increased when Valproic acid is combined with Mazindol.]
[R06AE05, meclizine, The risk or severity of adverse effects can be increased when Valproic acid is combined with Meclizine.]
[M02AA18, meclofenamic acid, The protein binding of Valproic acid can be decreased when combined with Meclofenamic acid.]
[N05BA03, medazepam, The risk or severity of adverse effects can be increased when Valproic acid is combined with Medazepam.]
[P01BC02, mefloquine, The therapeutic efficacy of Valproic acid can be decreased when used in combination with Mefloquine.]
[N05CH01, melatonin, The excretion of Valproic acid can be decreased when combined with Melatonin.]
[N06DX01, memantine, The metabolism of Valproic acid can be decreased when combined with Memantine.]
[N02AB02, meperidine, The risk or severity of adverse effects can be increased when Valproic acid is combined with Meperidine.]
[C01CA11, mephentermine, The risk or severity of serotonin syndrome can be increased when Valproic acid is combined with Mephentermine.]
[N03AB04, mephenytoin, The risk or severity of adverse effects can be increased when Valproic acid is combined with Mephenytoin.]
[N03AA01, mephobarbital, The serum concentration of Phenobarbital, an active metabolite of Methylphenobarbital, can be increased when used in combination with Valproic acid.]
[N01BB03, mepivacaine, The risk or severity of methemoglobinemia can be increased when Valproic acid is combined with Mepivacaine.]
[N05BC01, meprobamate, The risk or severity of adverse effects can be increased when Valproic acid is combined with Meprobamate.]
[N02AX05, meptazinol, The risk or severity of adverse effects can be increased when Valproic acid is combined with Meptazinol.]
[N05AC03, mesoridazine, The risk or severity of QTc prolongation can be increased when Mesoridazine is combined with Valproic acid.]
[N05AX13, paliperidone, The serum concentration of Paliperidone can be increased when it is combined with Valproic acid.]
[A04AA04, dolasetron, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Valproic acid.]
[N07BC02, methadone, The risk or severity of adverse effects can be increased when Methadone is combined with Valproic acid.]
[N06BA03, methamphetamine, The risk or severity of adverse effects can be increased when Valproic acid is combined with Metamfetamine.]
[A03AB07, methantheline, Valproic acid may increase the central nervous system depressant (CNS depressant) activities of Methantheline.]
[R06AC05, methapyrilene, The risk or severity of adverse effects can be increased when Valproic acid is combined with Methapyrilene.]
[N05CM01, methaqualone, The risk or severity of adverse effects can be increased when Valproic acid is combined with Methaqualone.]
[J05AF05, lamivudine, The excretion of Lamivudine can be decreased when combined with Valproic acid.]
[N03AA30, metharbital, The risk or severity of adverse effects can be increased when Valproic acid is combined with Metharbital.]
[G02CB05, metergoline, The risk or severity of adverse effects can be increased when Valproic acid is combined with Metergoline.]
[H03BB02, methimazole, The metabolism of Valproic acid can be decreased when combined with Methimazole.]
[L01BA04, pemetrexed, Valproic acid may decrease the excretion rate of Pemetrexed which could result in a higher serum level.]
[M03BA03, methocarbamol, The risk or severity of adverse effects can be increased when Valproic acid is combined with Methocarbamol.]
[N05CA15, methohexital, The serum concentration of Methohexital can be increased when it is combined with Valproic acid.]
[N02BG08, ziconotide, The risk or severity of CNS depression can be increased when Valproic acid is combined with Ziconotide.]
[L04AX03, methotrexate, The metabolism of Methotrexate can be decreased when combined with Valproic acid.]
[N05AA02, methotrimeprazine, Valproic acid may increase the central nervous system depressant (CNS depressant) activities of Methotrimeprazine.]
[D05BA02, methoxsalen, The metabolism of Valproic acid can be decreased when combined with Methoxsalen.]
[N02BG09, methoxyflurane, The risk or severity of adverse effects can be increased when Valproic acid is combined with Methoxyflurane.]
[V04CG05, methylene blue, Valproic acid may increase the serotonergic activities of Methylene blue.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be decreased when combined with Valproic acid.]
[N06BA04, methylphenidate, The therapeutic efficacy of Valproic acid can be decreased when used in combination with Methylphenidate.]
[N03AF03, rufinamide, The serum concentration of Rufinamide can be increased when it is combined with Valproic acid.]
[G03EK01, methyltestosterone, The excretion of Valproic acid can be increased when combined with Methyltestosterone.]
[N05CE02, methyprylon, The risk or severity of adverse effects can be increased when Valproic acid is combined with Methyprylon.]
[N02CA04, methysergide, The risk or severity of adverse effects can be increased when Methysergide is combined with Valproic acid.]
[A03FA01, metoclopramide, The risk or severity of sedation can be increased when Metoclopramide is combined with Valproic acid.]
[P01AB01, metronidazole, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Valproic acid.]
[V04CD01, metyrapone, The metabolism of Valproic acid can be decreased when combined with Metyrapone.]
[C01BB02, mexiletine, The metabolism of Mexiletine can be decreased when combined with Valproic acid.]
[N06AX03, mianserin, The therapeutic efficacy of Valproic acid can be decreased when used in combination with Mianserin.]
[S02AA13, miconazole, The metabolism of Valproic acid can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The protein binding of Valproic acid can be decreased when combined with Aminophenazone.]
[N05CD08, midazolam, The serum concentration of Midazolam can be increased when it is combined with Valproic acid.]
[G03XB01, mifepristone, The metabolism of Mifepristone can be increased when combined with Valproic acid.]
[C09CA03, valsartan, The metabolism of Valsartan can be decreased when combined with Valproic acid.]
[J01AA08, minocycline, Minocycline may increase the central nervous system depressant (CNS depressant) activities of Valproic acid.]
[D11AX01, minoxidil, The metabolism of Minoxidil can be decreased when combined with Valproic acid.]
[N06BA12, lisdexamfetamine, The risk or severity of serotonin syndrome can be increased when Valproic acid is combined with Lisdexamfetamine.]
[N05AE02, molindone, The risk or severity of adverse effects can be increased when Valproic acid is combined with Molindone.]
