[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Efavirenz.]
[B01AA12, fluindione, The metabolism of Fluindione can be decreased when combined with Efavirenz.]
[L02AE03, goserelin, The risk or severity of QTc prolongation can be increased when Goserelin is combined with Efavirenz.]
[P01BX01, halofantrine, The metabolism of Halofantrine can be decreased when combined with Efavirenz.]
[N05AD01, haloperidol, The risk or severity of QTc prolongation can be increased when Efavirenz is combined with Haloperidol.]
[N01AB01, halothane, The risk or severity of adverse effects can be increased when Efavirenz is combined with Halothane.]
[L02AE05, histrelin, The risk or severity of QTc prolongation can be increased when Histrelin is combined with Efavirenz.]
[N05AH04, quetiapine, The serum concentration of Quetiapine can be increased when it is combined with Efavirenz.]
[N02CX03, iprazochrome, The risk or severity of adverse effects can be increased when Efavirenz is combined with Iprazochrome.]
[L01CE02, irinotecan, The serum concentration of SN-38, an active metabolite of Irinotecan, can be increased when used in combination with Efavirenz.]
[N05CA21, allobarbital, The risk or severity of adverse effects can be increased when Efavirenz is combined with Allobarbital.]
[C09CA01, losartan, The metabolism of Losartan can be decreased when combined with Efavirenz.]
[G03DC01, allylestrenol, The metabolism of Allylestrenol can be decreased when combined with Efavirenz.]
[N05CA16, hexobarbital, The risk or severity of adverse effects can be increased when Efavirenz is combined with Hexobarbital.]
[J05AG01, nevirapine, The metabolism of Nevirapine can be decreased when combined with Efavirenz.]
[C08CA10, nilvadipine, The serum concentration of Nilvadipine can be decreased when it is combined with Efavirenz.]
[M02AA26, nimesulide, The serum concentration of Nimesulide can be decreased when it is combined with Efavirenz.]
[R06AE06, oxatomide, The risk or severity of QTc prolongation can be increased when Efavirenz is combined with Oxatomide.]
[C03AA03, hydrochlorothiazide, The risk or severity of QTc prolongation can be increased when Hydrochlorothiazide is combined with Efavirenz.]
[R05DA03, hydrocodone, Efavirenz may increase the central nervous system depressant (CNS depressant) activities of Hydrocodone.]
[S02BA01, hydrocortisone, The metabolism of Hydrocortisone can be decreased when combined with Efavirenz.]
[G04BD06, propiverine, The metabolism of Propiverine can be decreased when combined with Efavirenz.]
[P01BA02, hydroxychloroquine, The metabolism of Hydroxychloroquine can be decreased when combined with Efavirenz.]
[N05AX07, prothipendyl, The risk or severity of adverse effects can be increased when Efavirenz is combined with Prothipendyl.]
[G03DA03, 17-alpha-hydroxyprogesterone, The metabolism of Hydroxyprogesterone can be decreased when combined with Efavirenz.]
[N05BB01, hydroxyzine, The risk or severity of QTc prolongation can be increased when Efavirenz is combined with Hydroxyzine.]
[J04AB04, rifabutin, The metabolism of Rifabutin can be increased when combined with Efavirenz.]
[R02AX02, ibuprofen, The metabolism of Ibuprofen can be decreased when combined with Efavirenz.]
[L01DB06, idarubicin, The metabolism of Idarubicin can be decreased when combined with Efavirenz.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be increased when combined with Efavirenz.]
[H01AC02, somatrem, The metabolism of Efavirenz can be increased when combined with Somatrem.]
[N01AH03, sufentanil, The metabolism of Sufentanil can be decreased when combined with Efavirenz.]
[N06AA02, imipramine, The metabolism of Imipramine can be decreased when combined with Efavirenz.]
[L01CD01, paclitaxel, The metabolism of Paclitaxel can be decreased when combined with Efavirenz.]
[H01BA04, terlipressin, The risk or severity of QTc prolongation can be increased when Efavirenz is combined with Terlipressin.]
[M03BX02, tizanidine, The metabolism of Tizanidine can be decreased when combined with Efavirenz.]
[C03BA11, indapamide, The metabolism of Indapamide can be decreased when combined with Efavirenz.]
[S01BC01, indomethacin, The metabolism of Indomethacin can be increased when combined with Efavirenz.]
[L03AB04, interferon alfa-2a, The metabolism of Efavirenz can be decreased when combined with Interferon alfa-2a.]
[L03AB05, interferon alfa-2b, The metabolism of Efavirenz can be decreased when combined with Interferon alfa-2b.]
[N06AX17, milnacipran, The metabolism of Milnacipran can be decreased when combined with Efavirenz.]
[A03AA30, piperidolate, Efavirenz may increase the central nervous system depressant (CNS depressant) activities of Piperidolate.]
[N01BB08, articaine, The risk or severity of adverse effects can be increased when Efavirenz is combined with Articaine.]
[A10BH01, sitagliptin, The metabolism of Sitagliptin can be decreased when combined with Efavirenz.]
[N05BA12, alprazolam, The metabolism of Alprazolam can be decreased when combined with Efavirenz.]
[N05CH02, ramelteon, The metabolism of Ramelteon can be decreased when combined with Efavirenz.]
[R06AE01, buclizine, Efavirenz may increase the central nervous system depressant (CNS depressant) activities of Buclizine.]
[C10AA06, cerivastatin, The metabolism of Cerivastatin can be decreased when combined with Efavirenz.]
[L01XX35, anagrelide, The risk or severity of QTc prolongation can be increased when Efavirenz is combined with Anagrelide.]
[C07AA01, alprenolol, The risk or severity of adverse effects can be increased when Efavirenz is combined with Alprenolol.]
[L03AB09, interferon alfacon-1, The metabolism of Efavirenz can be decreased when combined with Interferon alfacon-1.]
[V03AB01, ipecac, The metabolism of Ipecac can be decreased when combined with Efavirenz.]
[N06AA13, iprindole, The risk or severity of adverse effects can be increased when Efavirenz is combined with Iprindole.]
[N06AF05, iproniazid, The risk or severity of adverse effects can be increased when Efavirenz is combined with Iproniazid.]
[J05AB13, penciclovir, The metabolism of Penciclovir can be decreased when combined with Efavirenz.]
[N05AA07, chlorproethazine, The risk or severity of adverse effects can be increased when Efavirenz is combined with Chlorproethazine.]
[N06AF01, isocarboxazid, The risk or severity of adverse effects can be increased when Efavirenz is combined with Isocarboxazid.]
[P01AX06, atovaquone, The serum concentration of Atovaquone can be decreased when it is combined with Efavirenz.]
[N01AB06, isoflurane, The risk or severity of adverse effects can be increased when Efavirenz is combined with Isoflurane.]
[N04BX02, entacapone, The risk or severity of adverse effects can be increased when Entacapone is combined with Efavirenz.]
[J04AC01, isoniazid, The metabolism of Efavirenz can be decreased when combined with Isoniazid.]
[D10BA01, isotretinoin, The metabolism of Isotretinoin can be decreased when combined with Efavirenz.]
[P02CF01, ivermectin, The metabolism of Ivermectin can be decreased when combined with Efavirenz.]
[N06AX18, reboxetine, The metabolism of Reboxetine can be decreased when combined with Efavirenz.]
[H01AC01, somatropin, The metabolism of Efavirenz can be increased when combined with Somatotropin.]
[L04AC07, tocilizumab, The metabolism of Efavirenz can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The metabolism of Ketamine can be decreased when combined with Efavirenz.]
[C02KD01, ketanserin, The risk or severity of adverse effects can be increased when Efavirenz is combined with Ketanserin.]
[B01AC22, prasugrel, The metabolism of Prasugrel can be decreased when combined with Efavirenz.]
[J02AB02, ketoconazole, The metabolism of Ketoconazole can be decreased when combined with Efavirenz.]
[H02CA04, levoketoconazole, The metabolism of Levoketoconazole can be decreased when combined with Efavirenz.]
[N05AH03, olanzapine, Efavirenz may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[M02AA10, ketoprofen, The metabolism of Ketoprofen can be increased when combined with Efavirenz.]
[V03AC03, deferasirox, The metabolism of Deferasirox can be increased when combined with Efavirenz.]
[L04AA24, abatacept, The metabolism of Efavirenz can be increased when combined with Abatacept.]
[R06AX25, mizolastine, The risk or severity of QTc prolongation can be increased when Efavirenz is combined with Mizolastine.]
[N04BC09, rotigotine, Efavirenz may increase the sedative activities of Rotigotine.]
[J01MB02, nalidixic acid, The risk or severity of QTc prolongation can be increased when Efavirenz is combined with Nalidixic acid.]
[C07AG01, labetalol, The metabolism of Labetalol can be increased when combined with Efavirenz.]
[N04BB01, amantadine, The risk or severity of adverse effects can be increased when Efavirenz is combined with Amantadine.]
[J05AX09, maraviroc, The serum concentration of Maraviroc can be decreased when it is combined with Efavirenz.]
[N03AX18, lacosamide, The metabolism of Lacosamide can be decreased when combined with Efavirenz.]
[R05CB06, ambroxol, The metabolism of Ambroxol can be decreased when combined with Efavirenz.]
[G03AD01, levonorgestrel, The metabolism of Levonorgestrel can be decreased when combined with Efavirenz.]
[N04BA01, levodopa, The risk or severity of adverse effects can be increased when Efavirenz is combined with Levodopa.]
[S02DA01, lidocaine, The metabolism of Lidocaine can be decreased when combined with Efavirenz.]
[C08EX01, lidoflazine, The serum concentration of Lidoflazine can be decreased when it is combined with Efavirenz.]
[N06BA13, armodafinil, The metabolism of Efavirenz can be increased when combined with Armodafinil.]
[D06AX13, retapamulin, The metabolism of Retapamulin can be decreased when combined with Efavirenz.]
[N02CA07, lisuride, The serum concentration of Lisuride can be increased when it is combined with Efavirenz.]
[N06AA07, lofepramine, The risk or severity of adverse effects can be increased when Efavirenz is combined with Lofepramine.]
[A07DA03, loperamide, The serum concentration of Loperamide can be decreased when it is combined with Efavirenz.]
[N05BA06, lorazepam, The metabolism of Lorazepam can be decreased when combined with Efavirenz.]
[C10AA02, lovastatin, The serum concentration of Lovastatin can be decreased when it is combined with Efavirenz.]
[N05AH01, loxapine, The risk or severity of adverse effects can be increased when Loxapine is combined with Efavirenz.]
[G03DC03, lynestrenol, The metabolism of Lynestrenol can be decreased when combined with Efavirenz.]
[L01EG01, temsirolimus, The metabolism of Temsirolimus can be decreased when combined with Efavirenz.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Efavirenz can be increased when used in combination with Magnesium sulfate.]
[L01EA03, nilotinib, The metabolism of Nilotinib can be decreased when combined with Efavirenz.]
[N06AA21, maprotiline, Efavirenz may increase the central nervous system depressant (CNS depressant) activities of Maprotiline.]
[A08AA05, mazindol, The risk or severity of adverse effects can be increased when Mazindol is combined with Efavirenz.]
[R06AE05, meclizine, The risk or severity of adverse effects can be increased when Efavirenz is combined with Meclizine.]
