[S02DA03, antipyrine, Antipyrine may decrease the antihypertensive activities of Amlodipine.]
[C09CA02, eprosartan, Amlodipine may increase the hypotensive activities of Eprosartan.]
[S01BC06, piroxicam, Piroxicam may decrease the antihypertensive activities of Amlodipine.]
[N02CX01, pizotyline, The risk or severity of hypotension can be increased when Pizotifen is combined with Amlodipine.]
[J05AG02, delavirdine, The metabolism of Amlodipine can be decreased when combined with Delavirdine.]
[A10BG02, rosiglitazone, The risk or severity of hypoglycemia can be increased when Amlodipine is combined with Rosiglitazone.]
[A06AD15, polyethylene glycols, The therapeutic efficacy of Polyethylene glycol can be decreased when used in combination with Amlodipine.]
[C03AA05, polythiazide, The therapeutic efficacy of Amlodipine can be increased when used in combination with Polythiazide.]
[J05AE03, ritonavir, The metabolism of Amlodipine can be decreased when combined with Ritonavir.]
[A10BH03, saxagliptin, The risk or severity of hypoglycemia can be increased when Amlodipine is combined with Saxagliptin.]
[B05XA01, potassium chloride, Potassium chloride may increase the hyperkalemic activities of Amlodipine.]
[V03AB21, potassium iodide, Potassium Iodide may increase the hyperkalemic activities of Amlodipine.]
[A10AD04, insulin lispro, The risk or severity of hypoglycemia can be increased when Amlodipine is combined with Insulin lispro.]
[C07AB01, practolol, Amlodipine may increase the arrhythmogenic activities of Practolol.]
[C01BA08, prajmaline, Amlodipine may increase the arrhythmogenic activities of Prajmaline.]
[C02CA01, prazosin, The risk or severity of hypotension can be increased when Prazosin is combined with Amlodipine.]
[S03BA02, prednisolone, The metabolism of Amlodipine can be increased when combined with Prednisolone.]
[C01DX02, prenylamine, Amlodipine may increase the arrhythmogenic activities of Prenylamine.]
[P01BA03, primaquine, The metabolism of Amlodipine can be decreased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Amlodipine can be increased when combined with Primidone.]
[M04AB01, probenecid, The metabolism of Amlodipine can be increased when combined with Probenecid.]
[C01BA02, procainamide, Amlodipine may increase the arrhythmogenic activities of Procainamide.]
[S01HA05, procaine, Procaine may increase the hypotensive activities of Amlodipine.]
[L01XB01, procarbazine, Procarbazine may increase the hypotensive activities of Amlodipine.]
[N05AA03, promazine, The risk or severity of hypotension can be increased when Promazine is combined with Amlodipine.]
[C01BC03, propafenone, Amlodipine may increase the arrhythmogenic activities of Propafenone.]
[N05AC01, periciazine, The risk or severity of hypotension can be increased when Periciazine is combined with Amlodipine.]
[N05CM06, propiomazine, The risk or severity of hypotension can be increased when Propiomazine is combined with Amlodipine.]
[N01AX10, propofol, Propofol may decrease the antihypertensive activities of Amlodipine.]
[C07AA05, propranolol, Amlodipine may increase the arrhythmogenic activities of Propranolol.]
[C01AB01, proscillaridin, The serum concentration of Proscillaridin can be increased when it is combined with Amlodipine.]
[N02CC04, rizatriptan, Rizatriptan may decrease the antihypertensive activities of Amlodipine.]
[B01AC09, epoprostenol, Epoprostenol may increase the hypotensive activities of Amlodipine.]
[N06AA11, protriptyline, Protriptyline may decrease the antihypertensive activities of Amlodipine.]
[R01BA02, pseudoephedrine, Pseudoephedrine may decrease the antihypertensive activities of Amlodipine.]
[N05AX12, aripiprazole, The risk or severity of hypotension can be increased when Aripiprazole is combined with Amlodipine.]
[A12BA05, potassium gluconate, Potassium gluconate may increase the hyperkalemic activities of Amlodipine.]
[C01BA01, quinidine, Amlodipine may increase the arrhythmogenic activities of Quinidine.]
[P01BC01, quinine, The metabolism of Amlodipine can be increased when combined with Quinine.]
[C02AA01, rescinnamine, Rescinnamine may decrease the antihypertensive activities of Amlodipine.]
[C02AA02, reserpine, Reserpine may increase the hypotensive activities of Amlodipine.]
[J04AB02, rifampin, The metabolism of Amlodipine can be increased when combined with Rifampicin.]
[R03AC05, rimiterol, Rimiterol may decrease the antihypertensive activities of Amlodipine.]
[G02CA01, ritodrine, Ritodrine may decrease the antihypertensive activities of Amlodipine.]
[J01FA06, roxithromycin, The risk or severity of adverse effects can be increased when Roxithromycin is combined with Amlodipine.]
[N02BA05, salicylamide, Salicylamide may decrease the antihypertensive activities of Amlodipine.]
[A07EC01, sulfasalazine, Sulfasalazine may decrease the antihypertensive activities of Amlodipine.]
[S01BC08, salicylic acid, Salicylic acid may decrease the antihypertensive activities of Amlodipine.]
[N05CA06, secobarbital, The metabolism of Amlodipine can be increased when combined with Secobarbital.]
[N04BD01, selegiline, Selegiline may increase the hypotensive activities of Amlodipine.]
[L01FA03, obinutuzumab, Amlodipine may increase the hypotensive activities of Obinutuzumab.]
[V04CC01, sorbitol, The therapeutic efficacy of Sorbitol can be decreased when used in combination with Amlodipine.]
[C07AA07, sotalol, Amlodipine may increase the arrhythmogenic activities of Sotalol.]
[C03DA01, spironolactone, The risk or severity of adverse effects can be increased when Amlodipine is combined with Spironolactone.]
[D07AB02, hydrocortisone butyrate, The metabolism of Amlodipine can be increased when combined with Hydrocortisone butyrate.]
[S02DA03, antipyrine, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Antipyrine is combined with Perindopril.]
[B01AD01, streptokinase, The risk or severity of angioedema can be increased when Streptokinase is combined with Perindopril.]
[J01GA01, streptomycin, Perindopril may decrease the excretion rate of Streptomycin which could result in a higher serum level.]
[M03AB01, succinylcholine, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Perindopril.]
[A02BX02, sucralfate, Sucralfate may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[J01CG01, sulbactam, Perindopril may decrease the excretion rate of Sulbactam which could result in a higher serum level.]
[J01EC02, sulfadiazine, Sulfadiazine may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[J01EC01, sulfamethoxazole, The risk or severity of hyperkalemia can be increased when Perindopril is combined with Sulfamethoxazole.]
[M01AB02, sulindac, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Sulindac is combined with Perindopril.]
[M01AX04, apazone, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Azapropazone is combined with Perindopril.]
[N05CD07, temazepam, Temazepam may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[R03CC03, terbutaline, Terbutaline may decrease the antihypertensive activities of Perindopril.]
[B01AE07, dabigatran etexilate, Perindopril may decrease the excretion rate of Dabigatran etexilate which could result in a higher serum level.]
[G03BA03, testosterone, Testosterone may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[S03AA02, tetracycline, Tetracycline may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[J01DI02, ceftaroline fosamil, Ceftaroline fosamil may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[N05AE05, lurasidone, Lurasidone may decrease the antihypertensive activities of Perindopril.]
[N04BC07, apomorphine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Perindopril.]
[L04AX02, thalidomide, The risk or severity of adverse effects can be increased when Perindopril is combined with Thalidomide.]
[R03DA07, theobromine, Theobromine may increase the excretion rate of Perindopril which could result in a lower serum level and potentially a reduction in efficacy.]
[P02CA02, thiabendazole, Thiabendazole may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[R06AD03, thiethylperazine, Thiethylperazine may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[N05CA19, thiopental, Thiopental may increase the hypotensive activities of Perindopril.]
[N05AB08, thioproperazine, Thioproperazine may decrease the antihypertensive activities of Perindopril.]
[N05AC02, thioridazine, Thioridazine may decrease the antihypertensive activities of Perindopril.]
[B02AB01, aprotinin, Aprotinin may decrease the antihypertensive activities of Perindopril.]
[G04BE06, moxisylyte, Moxisylyte may decrease the antihypertensive activities of Perindopril.]
[N05AL03, tiapride, Perindopril may decrease the excretion rate of Tiapride which could result in a higher serum level.]
[B01AC05, ticlopidine, Ticlopidine may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[S01ED01, timolol, Timolol may increase the hypotensive activities of Perindopril.]
[P01AB02, tinidazole, Perindopril may decrease the excretion rate of Tinidazole which could result in a higher serum level.]
[S01AA12, tobramycin, Perindopril may decrease the excretion rate of Tobramycin which could result in a higher serum level.]
[A10BB05, tolazamide, Perindopril may decrease the excretion rate of Tolazamide which could result in a higher serum level.]
[M02AX02, tolazoline, Tolazoline may decrease the antihypertensive activities of Perindopril.]
[V04CA01, tolbutamide, Perindopril may decrease the excretion rate of Tolbutamide which could result in a higher serum level.]
[M02AA21, tolmetin, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Tolmetin is combined with Perindopril.]
[N02AX02, tramadol, Tramadol may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[N06AF04, tranylcypromine, Tranylcypromine may increase the hypotensive activities of Perindopril.]
[N06AX05, trazodone, Trazodone may decrease the antihypertensive activities of Perindopril.]
[L01XF01, tretinoin, The risk or severity of adverse effects can be increased when Tretinoin is combined with Perindopril.]
[C03DB02, triamterene, The risk or severity of hyperkalemia can be increased when Triamterene is combined with Perindopril.]
[N05CD05, triazolam, Perindopril may decrease the excretion rate of Triazolam which could result in a higher serum level.]
[C03AA06, trichlormethiazide, The therapeutic efficacy of Perindopril can be increased when used in combination with Trichlormethiazide.]
[A16AX12, trientine, Perindopril may decrease the excretion rate of Triethylenetetramine which could result in a higher serum level.]
[N05AB06, trifluoperazine, Trifluoperazine may decrease the antihypertensive activities of Perindopril.]
[S01AD02, trifluridine, Trifluridine may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[A03AA05, trimebutine, The risk or severity of hyperkalemia can be increased when Perindopril is combined with Trimebutine.]
[S01ED04, metipranolol, Perindopril may increase the hypotensive activities of Metipranolol.]
[N03AC02, trimethadione, The risk or severity of hyperkalemia can be increased when Trimethadione is combined with Perindopril.]
[C02BA01, trimethaphan, Perindopril may increase the hypotensive activities of Trimethaphan.]
[J01EA01, trimethoprim, Trimethoprim may increase the hyperkalemic activities of Perindopril.]
[N06AA06, trimipramine, Trimipramine may decrease the antihypertensive activities of Perindopril.]
[N06AX24, vilazodone, Vilazodone may decrease the antihypertensive activities of Perindopril.]
[C09CA09, azilsartan medoxomil, The risk or severity of renal failure, hypotension, and hyperkalemia can be increased when Perindopril is combined with Azilsartan medoxomil.]
[R03DX07, roflumilast, Perindopril may decrease the excretion rate of Roflumilast which could result in a higher serum level.]
[L01FX04, ipilimumab, Perindopril may decrease the excretion rate of Ipilimumab which could result in a higher serum level.]
[R02AA14, oxyquinoline, Perindopril may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.]
