[P02BB01, trichlorfon, The therapeutic efficacy of Doxepin can be decreased when used in combination with Metrifonate.]
[M01AH03, valdecoxib, The risk or severity of gastrointestinal bleeding can be increased when Doxepin is combined with Valdecoxib.]
[H01AX01, pegvisomant, The therapeutic efficacy of Doxepin can be decreased when used in combination with Pegvisomant.]
[A03AX10, isometheptene, Doxepin may increase the vasopressor activities of Isometheptene.]
[N02CC05, almotriptan, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[M01AH04, parecoxib, The risk or severity of gastrointestinal bleeding can be increased when Doxepin is combined with Parecoxib.]
[J02AC02, itraconazole, Doxepin can cause a decrease in the absorption of Itraconazole resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[S01AD03, acyclovir, The metabolism of Doxepin can be decreased when combined with Acyclovir.]
[S01GX06, emedastine, The risk or severity of QTc prolongation can be increased when Doxepin is combined with Emedastine.]
[N05BA10, ketazolam, Ketazolam may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[M01AA06, kebuzone, The risk or severity of gastrointestinal bleeding can be increased when Doxepin is combined with Kebuzone.]
[L01EA01, imatinib, The serum concentration of Doxepin can be increased when it is combined with Imatinib.]
[J02AC04, posaconazole, The metabolism of Doxepin can be decreased when combined with Posaconazole.]
[A02BC05, esomeprazole, The metabolism of Doxepin can be decreased when combined with Esomeprazole.]
[C08CA09, lacidipine, The risk or severity of hypotension can be increased when Doxepin is combined with Lacidipine.]
[A06AD12, lactitol, The therapeutic efficacy of Lactitol can be decreased when used in combination with Doxepin.]
[N03AX09, lamotrigine, Lamotrigine may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[S01GX02, levocabastine, Levocabastine may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[N07BC04, lofexidine, The therapeutic efficacy of Doxepin can be increased when used in combination with Lofexidine.]
[S01AE04, lomefloxacin, The metabolism of Doxepin can be decreased when combined with Lomefloxacin.]
[M01AB09, lonazolac, The risk or severity of gastrointestinal bleeding can be increased when Doxepin is combined with Lonazolac.]
[R06AX13, loratadine, Doxepin may increase the anticholinergic activities of Loratadine.]
[N05CD06, lormetazepam, Lormetazepam may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[M02AA31, loxoprofen, The risk or severity of gastrointestinal bleeding can be increased when Doxepin is combined with Loxoprofen.]
[J01DC08, loracarbef, Loracarbef may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[C09AA03, lisinopril, Doxepin may decrease the antihypertensive activities of Lisinopril.]
[A06AD01, magnesium carbonate, The therapeutic efficacy of Magnesium carbonate can be decreased when used in combination with Doxepin.]
[C08CA11, manidipine, The metabolism of Doxepin can be decreased when combined with Manidipine.]
[A03AA04, mebeverine, Doxepin may increase the central nervous system depressant (CNS depressant) activities of Mebeverine.]
[N06AX13, medifoxamine, Medifoxamine may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[A08AA09, mefenorex, The risk or severity of hypertension can be increased when Doxepin is combined with Mefenorex.]
[C07AA14, mepindolol, Mepindolol may increase the orthostatic hypotensive activities of Doxepin.]
[R06AD07, mequitazine, The risk or severity of QTc prolongation can be increased when Mequitazine is combined with Doxepin.]
[J01DH02, meropenem, Meropenem may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[C01EB10, adenosine, The risk or severity of QTc prolongation can be increased when Doxepin is combined with Adenosine.]
[N04AA03, methixene, Doxepin may increase the central nervous system depressant (CNS depressant) activities of Metixene.]
[C04AX01, cyclandelate, The risk or severity of hypotension can be increased when Doxepin is combined with Cyclandelate.]
[R03CB02, methoxyphenamine, Methoxyphenamine may decrease the sedative and stimulatory activities of Doxepin.]
[R06AE03, cyclizine, Cyclizine may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[N05CA10, cyclobarbital, Cyclobarbital may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[S01BC10, nepafenac, The risk or severity of gastrointestinal bleeding can be increased when Doxepin is combined with Nepafenac.]
[C03DA04, eplerenone, Eplerenone may increase the excretion rate of Doxepin which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AD03, metylperon, Melperone may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[C03AA07, cyclopenthiazide, Cyclopenthiazide may increase the excretion rate of Doxepin which could result in a lower serum level and potentially a reduction in efficacy.]
[A10BF02, miglitol, Doxepin may decrease the hypoglycemic activities of Miglitol.]
[S01FA04, cyclopentolate, The risk or severity of adverse effects can be increased when Cyclopentolate is combined with Doxepin.]
[J05AF07, tenofovir disoproxil, Tenofovir disoproxil may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[L01AA01, cyclophosphamide, The metabolism of Doxepin can be decreased when combined with Cyclophosphamide.]
[N06AX07, minaprine, Minaprine may increase the serotonergic activities of Doxepin.]
[J04AB01, cycloserine, Cycloserine may increase the neurotoxic activities of Doxepin.]
[S01XA18, cyclosporine, The metabolism of Doxepin can be decreased when combined with Cyclosporine.]
[N06AG02, moclobemide, Moclobemide may increase the serotonergic activities of Doxepin.]
[N06BA07, modafinil, The metabolism of Doxepin can be decreased when combined with Modafinil.]
[R06AX02, cyproheptadine, Cyproheptadine may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[C09AA13, moexipril, The risk or severity of QTc prolongation can be increased when Moexipril is combined with Doxepin.]
[C10AA07, rosuvastatin, The metabolism of Doxepin can be decreased when combined with Rosuvastatin.]
[M02AA02, mofebutazone, The risk or severity of gastrointestinal bleeding can be increased when Doxepin is combined with Mofebutazone.]
[S01XA21, cysteamine, Doxepin can cause an increase in the absorption of Cysteamine resulting in an increased serum concentration and potentially a worsening of adverse effects.]
[M01AX22, morniflumate, The risk or severity of gastrointestinal bleeding can be increased when Doxepin is combined with Morniflumate.]
[C03XA02, conivaptan, The metabolism of Doxepin can be decreased when combined with Conivaptan.]
[C02AC05, moxonidine, The therapeutic efficacy of Moxonidine can be decreased when used in combination with Doxepin.]
[J05AF10, entecavir, The metabolism of Doxepin can be decreased when combined with Entecavir.]
[G04BE09, vardenafil, The risk or severity of hypotension and syncope can be increased when Vardenafil is combined with Doxepin.]
[M01AH05, etoricoxib, The risk or severity of gastrointestinal bleeding can be increased when Doxepin is combined with Etoricoxib.]
[L01AX04, dacarbazine, The metabolism of Doxepin can be decreased when combined with Dacarbazine.]
[G03XA01, danazol, The metabolism of Doxepin can be decreased when combined with Danazol.]
[M03CA01, dantrolene, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[J04BA02, dapsone, The metabolism of Doxepin can be decreased when combined with Dapsone.]
[N06BX04, deanol, Deanol may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[C02CC04, debrisoquin, Doxepin may decrease the antihypertensive activities of Debrisoquine.]
[A04AD11, nabilone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[M01AX01, nabumetone, The risk or severity of gastrointestinal bleeding can be increased when Doxepin is combined with Nabumetone.]
[N07BB05, nalmefene, Doxepin may decrease the excretion rate of Nalmefene which could result in a higher serum level.]
[N05BA16, nordazepam, Nordazepam may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[C07AB12, nebivolol, The therapeutic efficacy of Nebivolol can be decreased when used in combination with Doxepin.]
[S01GX04, nedocromil, Nedocromil may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[N06AX06, nefazodone, Doxepin may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Nefazodone.]
[N05CM16, niaprazine, Niaprazine may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[C01DX16, nicorandil, The therapeutic efficacy of Nicorandil can be decreased when used in combination with Doxepin.]
[L02BB02, nilutamide, The metabolism of Doxepin can be decreased when combined with Nilutamide.]
[N03AG06, tiagabine, Tiagabine may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[C01CA23, theodrenaline, The metabolism of Theodrenaline can be decreased when combined with Doxepin.]
[M03AC11, cisatracurium, Cisatracurium may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[C01CA05, norfenefrine, The therapeutic efficacy of Norfenefrine can be decreased when used in combination with Doxepin.]
[R05DA06, normethadone, The risk or severity of adverse effects can be increased when Doxepin is combined with Normethadone.]
[B01AX05, fondaparinux, Fondaparinux may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[N06AB10, escitalopram, The risk or severity of serotonin syndrome can be increased when Doxepin is combined with Escitalopram.]
[G04BD08, solifenacin, Doxepin may increase the central nervous system depressant (CNS depressant) activities of Solifenacin.]
[A07EC03, olsalazine, The risk or severity of gastrointestinal bleeding can be increased when Doxepin is combined with Olsalazine.]
[N06AA01, desipramine, The metabolism of Doxepin can be decreased when combined with Desipramine.]
[H01BA02, desmopressin, The risk or severity of hyponatremia and water intoxication can be increased when Doxepin is combined with Desmopressin.]
[V04CH02, indigo carmine, Doxepin may decrease the excretion rate of Indigotindisulfonic acid which could result in a higher serum level.]
[J01DH03, ertapenem, Ertapenem may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[C09XA02, aliskiren, Doxepin may decrease the antihypertensive activities of Aliskiren.]
