[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Fluvoxamine.]
[J05AB12, cidofovir, Cidofovir may decrease the excretion rate of Fluvoxamine which could result in a higher serum level.]
[C08CX01, mibefradil, The metabolism of Mibefradil can be decreased when combined with Fluvoxamine.]
[N05AG02, pimozide, The risk or severity of QTc prolongation can be increased when Fluvoxamine is combined with Pimozide.]
[C07AA03, pindolol, The metabolism of Pindolol can be decreased when combined with Fluvoxamine.]
[C10AA05, atorvastatin, The metabolism of Atorvastatin can be decreased when combined with Fluvoxamine.]
[J01CA12, piperacillin, Fluvoxamine may decrease the excretion rate of Piperacillin which could result in a higher serum level.]
[J05AE01, saquinavir, The metabolism of Fluvoxamine can be decreased when combined with Saquinavir.]
[P02CB01, piperazine, The metabolism of Piperazine can be decreased when combined with Fluvoxamine.]
[N05AC04, pipothiazine, The metabolism of Pipotiazine can be decreased when combined with Fluvoxamine.]
[N06BX03, piracetam, Fluvoxamine may decrease the excretion rate of Piracetam which could result in a higher serum level.]
[A02BX03, pirenzepine, Fluvoxamine may increase the central nervous system depressant (CNS depressant) activities of Pirenzepine.]
[N02AC03, pirinitramide, The risk or severity of serotonin syndrome can be increased when Piritramide is combined with Fluvoxamine.]
[S01BC06, piroxicam, The risk or severity of gastrointestinal bleeding can be increased when Fluvoxamine is combined with Piroxicam.]
[J01DD16, cefditoren, Cefditoren may decrease the excretion rate of Fluvoxamine which could result in a higher serum level.]
[J01MA11, grepafloxacin, The metabolism of Grepafloxacin can be decreased when combined with Fluvoxamine.]
[N02CX01, pizotyline, The risk or severity of adverse effects can be increased when Pizotifen is combined with Fluvoxamine.]
[J05AG02, delavirdine, The metabolism of Fluvoxamine can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, The metabolism of Irbesartan can be decreased when combined with Fluvoxamine.]
[N05CA22, proxibarbal, The risk or severity of adverse effects can be increased when Proxibarbal is combined with Fluvoxamine.]
[B01AC13, abciximab, The risk or severity of hemorrhage can be increased when Fluvoxamine is combined with Abciximab.]
[S01XA13, alteplase, The risk or severity of hemorrhage can be increased when Fluvoxamine is combined with Alteplase.]
[A10BG02, rosiglitazone, The risk or severity of hypoglycemia can be increased when Fluvoxamine is combined with Rosiglitazone.]
[A03AE01, alosetron, The metabolism of Alosetron can be decreased when combined with Fluvoxamine.]
[L04AC08, canakinumab, The metabolism of Fluvoxamine can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, The risk or severity of hyponatremia can be increased when Fluvoxamine is combined with Polythiazide.]
[J05AE03, ritonavir, The serum concentration of Fluvoxamine can be increased when it is combined with Ritonavir.]
[A10BH03, saxagliptin, The risk or severity of hypoglycemia can be increased when Fluvoxamine is combined with Saxagliptin.]
[B05XA01, potassium chloride, Fluvoxamine may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[V03AB21, potassium iodide, The therapeutic efficacy of Potassium Iodide can be decreased when used in combination with Fluvoxamine.]
[A10AD04, insulin lispro, The risk or severity of hypoglycemia can be increased when Fluvoxamine is combined with Insulin lispro.]
[C10AA08, pitavastatin, The metabolism of Pitavastatin can be decreased when combined with Fluvoxamine.]
[C07AB01, practolol, The metabolism of Practolol can be decreased when combined with Fluvoxamine.]
[N05BA11, prazepam, The risk or severity of adverse effects can be increased when Prazepam is combined with Fluvoxamine.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be decreased when combined with Fluvoxamine.]
[S03BA02, prednisolone, The metabolism of Prednisolone can be decreased when combined with Fluvoxamine.]
[H02AB07, prednisone, The metabolism of Prednisone can be decreased when combined with Fluvoxamine.]
[C01DX02, prenylamine, The metabolism of Prenylamine can be decreased when combined with Fluvoxamine.]
[N01BB04, prilocaine, The risk or severity of adverse effects can be increased when Prilocaine is combined with Fluvoxamine.]
[P01BA03, primaquine, The metabolism of Fluvoxamine can be decreased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Fluvoxamine can be increased when combined with Primidone.]
[M04AB01, probenecid, Fluvoxamine may decrease the excretion rate of Probenecid which could result in a higher serum level.]
[C01BA02, procainamide, The metabolism of Procainamide can be decreased when combined with Fluvoxamine.]
[S01HA05, procaine, Procaine may increase the serotonergic activities of Fluvoxamine.]
[L01XB01, procarbazine, Procarbazine may increase the serotonergic activities of Fluvoxamine.]
[C10AB05, fenofibrate, The metabolism of Fenofibrate can be decreased when combined with Fluvoxamine.]
[N05AB04, prochlorperazine, The metabolism of Prochlorperazine can be decreased when combined with Fluvoxamine.]
[N04AA04, procyclidine, Fluvoxamine may increase the central nervous system depressant (CNS depressant) activities of Procyclidine.]
[G03DA04, progesterone, The metabolism of Progesterone can be decreased when combined with Fluvoxamine.]
[N05AA03, promazine, The metabolism of Promazine can be decreased when combined with Fluvoxamine.]
[G03DB07, promegestone, The metabolism of Promegestone can be decreased when combined with Fluvoxamine.]
[R06AD02, promethazine, The metabolism of Promethazine can be decreased when combined with Fluvoxamine.]
[C01BC03, propafenone, The metabolism of Propafenone can be decreased when combined with Fluvoxamine.]
[N01AX04, propanidid, The risk or severity of adverse effects can be increased when Propanidid is combined with Fluvoxamine.]
[A03AB05, propantheline, Fluvoxamine may increase the central nervous system depressant (CNS depressant) activities of Propantheline.]
[N05AC01, periciazine, The risk or severity of adverse effects can be increased when Periciazine is combined with Fluvoxamine.]
[N05CM06, propiomazine, The risk or severity of adverse effects can be increased when Propiomazine is combined with Fluvoxamine.]
[L01XH02, romidepsin, The metabolism of Romidepsin can be decreased when combined with Fluvoxamine.]
[N01AX10, propofol, The risk or severity of adverse effects can be increased when Propofol is combined with Fluvoxamine.]
[N02AC04, propoxyphene, The risk or severity of serotonin syndrome can be increased when Dextropropoxyphene is combined with Fluvoxamine.]
[C07AA05, propranolol, The serum concentration of Propranolol can be increased when it is combined with Fluvoxamine.]
[H03BA02, propylthiouracil, The therapeutic efficacy of Propylthiouracil can be decreased when used in combination with Fluvoxamine.]
[N02CC04, rizatriptan, The risk or severity of adverse effects can be increased when Rizatriptan is combined with Fluvoxamine.]
[B01AC09, epoprostenol, The risk or severity of hemorrhage can be increased when Fluvoxamine is combined with Epoprostenol.]
[R03DC03, montelukast, The metabolism of Montelukast can be decreased when combined with Fluvoxamine.]
[N06AA11, protriptyline, The risk or severity of adverse effects can be increased when Protriptyline is combined with Fluvoxamine.]
[R01BA02, pseudoephedrine, The risk or severity of serotonin syndrome can be increased when Fluvoxamine is combined with Pseudoephedrine.]
[N05AX12, aripiprazole, The metabolism of Aripiprazole can be decreased when combined with Fluvoxamine.]
[N07XX07, dalfampridine, Fluvoxamine may decrease the excretion rate of Dalfampridine which could result in a higher serum level.]
[A03AB15, diphemanil, Fluvoxamine may increase the central nervous system depressant (CNS depressant) activities of Diphemanil.]
[A03AB09, isopropamide, Fluvoxamine may increase the central nervous system depressant (CNS depressant) activities of Isopropamide.]
[S01FA03, methscopolamine, Fluvoxamine may increase the central nervous system depressant (CNS depressant) activities of Methscopolamine.]
[N05CA07, talbutal, The risk or severity of adverse effects can be increased when Talbutal is combined with Fluvoxamine.]
[N05CA09, vinbarbital, The risk or severity of adverse effects can be increased when Vinbarbital is combined with Fluvoxamine.]
[N05BB02, captodiamine, The risk or severity of adverse effects can be increased when Captodiame is combined with Fluvoxamine.]
[M03BA04, styramate, The risk or severity of adverse effects can be increased when Styramate is combined with Fluvoxamine.]
[P02CC01, pyrantel, The risk or severity of adverse effects can be increased when Pyrantel is combined with Fluvoxamine.]
[J04AK01, pyrazinamide, Fluvoxamine may decrease the excretion rate of Pyrazinamide which could result in a higher serum level.]
[R06AC01, pyrilamine, The risk or severity of adverse effects can be increased when Mepyramine is combined with Fluvoxamine.]
[P01AX05, quinacrine, The metabolism of Quinacrine can be decreased when combined with Fluvoxamine.]
[C01BA01, quinidine, The metabolism of Quinidine can be decreased when combined with Fluvoxamine.]
[P01BC01, quinine, The metabolism of Quinine can be decreased when combined with Fluvoxamine.]
[A02BA02, ranitidine, The metabolism of Ranitidine can be decreased when combined with Fluvoxamine.]
[C02AA02, reserpine, Reserpine may decrease the excretion rate of Fluvoxamine which could result in a higher serum level.]
[J05AP01, ribavirin, Fluvoxamine may decrease the excretion rate of Ribavirin which could result in a higher serum level.]
[J04AB02, rifampin, The metabolism of Fluvoxamine can be increased when combined with Rifampicin.]
[N06AX01, 5-hydroxytryptophan, The risk or severity of adverse effects can be increased when Oxitriptan is combined with Fluvoxamine.]
[J01FA06, roxithromycin, The metabolism of Roxithromycin can be decreased when combined with Fluvoxamine.]
[N02BA05, salicylamide, The risk or severity of gastrointestinal bleeding can be increased when Fluvoxamine is combined with Salicylamide.]
[A07EC01, sulfasalazine, The risk or severity of gastrointestinal bleeding can be increased when Fluvoxamine is combined with Sulfasalazine.]
[S01BC08, salicylic acid, The risk or severity of gastrointestinal bleeding can be increased when Fluvoxamine is combined with Salicylic acid.]
[S01FA02, scopolamine, The risk or severity of adverse effects can be increased when Scopolamine is combined with Fluvoxamine.]
[N05CA06, secobarbital, The risk or severity of adverse effects can be increased when Secobarbital is combined with Fluvoxamine.]
[N04BD01, selegiline, Selegiline may increase the serotonergic activities of Fluvoxamine.]
[J01GB08, sisomicin, Fluvoxamine may decrease the excretion rate of Sisomicin which could result in a higher serum level.]
[A12CD01, sodium fluoride, Fluvoxamine may decrease the excretion rate of Sodium fluoride which could result in a higher serum level.]
[V04CC01, sorbitol, Fluvoxamine may decrease the excretion rate of Sorbitol which could result in a higher serum level.]
[C07AA07, sotalol, The metabolism of Sotalol can be decreased when combined with Fluvoxamine.]
[L01CD04, cabazitaxel, The metabolism of Cabazitaxel can be decreased when combined with Fluvoxamine.]
[C03DA01, spironolactone, Fluvoxamine may decrease the excretion rate of Spironolactone which could result in a higher serum level.]
[A05AA01, chenodeoxycholic acid, The metabolism of Chenodeoxycholic acid can be decreased when combined with Fluvoxamine.]
[D11AX24, deoxycholic acid, Deoxycholic acid may increase the excretion rate of Fluvoxamine which could result in a lower serum level and potentially a reduction in efficacy.]
[D07AB02, hydrocortisone butyrate, The metabolism of Hydrocortisone butyrate can be decreased when combined with Fluvoxamine.]
[C01DA14, isosorbide mononitrate, Fluvoxamine may decrease the excretion rate of Isosorbide mononitrate which could result in a higher serum level.]
[H02CA04, levoketoconazole, The metabolism of Fluvoxamine can be decreased when combined with Levoketoconazole.]
[D10AX03, azelaic acid, Fluvoxamine may decrease the excretion rate of Azelaic acid which could result in a higher serum level.]
[M01AE11, tiaprofenic acid, The risk or severity of gastrointestinal bleeding can be increased when Fluvoxamine is combined with Tiaprofenic acid.]
[C03CC01, ethacrynic acid, Etacrynic acid may increase the excretion rate of Fluvoxamine which could result in a lower serum level and potentially a reduction in efficacy.]
[A05AA02, ursodiol, Ursodeoxycholic acid may decrease the excretion rate of Fluvoxamine which could result in a higher serum level.]
[R03BB01, ipratropium bromide, Fluvoxamine may increase the central nervous system depressant (CNS depressant) activities of Ipratropium.]
[N06AF04, tranylcypromine, Selective serotonin reuptake inhibitors (SSRIs) -  monoamine oxidase (MAO) inhibitors]
[M03BX02, tizanidine, Tizanidine - CYP 1A2 inhibitors]
[N05CH02, ramelteon, Ramelteon - specific CYP1A2 inhibitors]
[N06AF01, isocarboxazid, Selective serotonin reuptake inhibitors (SSRIs) -  monoamine oxidase (MAO) inhibitors]
[N06AF03, phenelzine, Selective serotonin reuptake inhibitors (SSRIs) -  monoamine oxidase (MAO) inhibitors]
[L01XB01, procarbazine, Selective serotonin reuptake inhibitors (SSRIs) -  monoamine oxidase (MAO) inhibitors]
[N04BD01, selegiline, Selective serotonin reuptake inhibitors (SSRIs) -  monoamine oxidase (MAO) inhibitors]
