[S02DA03, antipyrine, The risk or severity of bleeding can be increased when Zidovudine is combined with Antipyrine.]
[N06AX24, vilazodone, The metabolism of Nevirapine can be decreased when combined with Vilazodone.]
[M03AA02, tubocurarine, The risk or severity of adverse effects can be increased when Nevirapine is combined with Tubocurarine.]
[R03DX07, roflumilast, The metabolism of Roflumilast can be decreased when combined with Nevirapine.]
[L02BX03, abiraterone, The metabolism of Nevirapine can be decreased when combined with Abiraterone.]
[A10BH05, linagliptin, The metabolism of Nevirapine can be decreased when combined with Linagliptin.]
[J05AP03, boceprevir, The metabolism of Nevirapine can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Nevirapine can be decreased when combined with Telaprevir.]
[J05AG05, rilpivirine, The metabolism of Nevirapine can be decreased when combined with Rilpivirine.]
[B01AF01, rivaroxaban, The metabolism of Rivaroxaban can be decreased when combined with Nevirapine.]
[B01AC24, ticagrelor, The metabolism of Ticagrelor can be decreased when combined with Nevirapine.]
[C08DA01, verapamil, The metabolism of Verapamil can be increased when combined with Nevirapine.]
[N06AX09, viloxazine, The metabolism of Nevirapine can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The metabolism of Nevirapine can be decreased when combined with Vinblastine.]
[L01CA02, vincristine, The metabolism of Vincristine can be decreased when combined with Nevirapine.]
[B01AA03, warfarin, The metabolism of Warfarin can be decreased when combined with Nevirapine.]
[S01AA13, fusidic acid, The metabolism of Nevirapine can be decreased when combined with Fusidic acid.]
[N05AF05, zuclopenthixol, The metabolism of Zuclopenthixol can be decreased when combined with Nevirapine.]
[J05AE02, indinavir, The serum concentration of Indinavir can be decreased when it is combined with Nevirapine.]
[L01EC01, vemurafenib, The metabolism of Nevirapine can be decreased when combined with Vemurafenib.]
[L01ED01, crizotinib, The metabolism of Crizotinib can be decreased when combined with Nevirapine.]
[R03DC01, zafirlukast, The metabolism of Nevirapine can be decreased when combined with Zafirlukast.]
[N05AE04, ziprasidone, The metabolism of Nevirapine can be decreased when combined with Ziprasidone.]
[N02BA01, aspirin, The metabolism of Acetylsalicylic acid can be decreased when combined with Nevirapine.]
[L01EJ01, ruxolitinib, The metabolism of Ruxolitinib can be decreased when combined with Nevirapine.]
[G04BD07, tolterodine, The metabolism of Tolterodine can be decreased when combined with Nevirapine.]
[C07AB03, atenolol, The metabolism of Atenolol can be decreased when combined with Nevirapine.]
[J02AC03, voriconazole, The metabolism of Nevirapine can be decreased when combined with Voriconazole.]
[L01XJ01, vismodegib, The metabolism of Vismodegib can be decreased when combined with Nevirapine.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Nevirapine.]
[R07AX02, ivacaftor, The metabolism of Ivacaftor can be decreased when combined with Nevirapine.]
[H02AB11, prednylidene, The metabolism of Nevirapine can be increased when combined with Prednylidene.]
[L04AX01, azathioprine, The metabolism of Azathioprine can be decreased when combined with Nevirapine.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Nevirapine.]
[J07BK01, varicella-zoster virus vaccine live (Oka-Merck) strain, The therapeutic efficacy of Varicella zoster vaccine (live/attenuated) can be decreased when used in combination with Nevirapine.]
[A08AA11, lorcaserin, The metabolism of Nevirapine can be decreased when combined with Lorcaserin.]
[G04BD12, mirabegron, The serum concentration of Nevirapine can be increased when it is combined with Mirabegron.]
[V03AX03, cobicistat, The serum concentration of Cobicistat can be decreased when it is combined with Nevirapine.]
[J05AJ02, elvitegravir, The metabolism of Nevirapine can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Nevirapine can be decreased when it is combined with Enzalutamide.]
[L01EX05, regorafenib, The metabolism of Nevirapine can be decreased when combined with Regorafenib.]
[J05AE04, nelfinavir, The metabolism of Nevirapine can be decreased when combined with Nelfinavir.]
[L01AA09, bendamustine, The metabolism of Bendamustine can be decreased when combined with Nevirapine.]
[N04BD02, rasagiline, The metabolism of Rasagiline can be decreased when combined with Nevirapine.]
[C08CA13, lercanidipine, The metabolism of Lercanidipine can be decreased when combined with Nevirapine.]
[N06DA02, donepezil, The metabolism of Donepezil can be decreased when combined with Nevirapine.]
[N03AX22, perampanel, The metabolism of Perampanel can be increased when combined with Nevirapine.]
[N02CC03, zolmitriptan, The metabolism of Zolmitriptan can be decreased when combined with Nevirapine.]
[G04BD10, darifenacin, The metabolism of Nevirapine can be decreased when combined with Darifenacin.]
[L01EX07, cabozantinib, The metabolism of Cabozantinib can be decreased when combined with Nevirapine.]
[G04BE03, sildenafil, The metabolism of Nevirapine can be decreased when combined with Sildenafil.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Nevirapine.]
[B01AF02, apixaban, The metabolism of Apixaban can be decreased when combined with Nevirapine.]
[A10BH04, alogliptin, The metabolism of Alogliptin can be decreased when combined with Nevirapine.]
[A16AX09, glycerol phenylbutyrate, The metabolism of Nevirapine can be decreased when combined with Glycerol phenylbutyrate.]
[L04AX06, pomalidomide, The metabolism of Pomalidomide can be decreased when combined with Nevirapine.]
[G03XC05, ospemifene, The metabolism of Ospemifene can be increased when combined with Nevirapine.]
[M04AB03, benzbromarone, The metabolism of Nevirapine can be decreased when combined with Benzbromarone.]
[A06AX06, tegaserod, The metabolism of Nevirapine can be decreased when combined with Tegaserod.]
[R02AD01, benzocaine, The metabolism of Benzocaine can be increased when combined with Nevirapine.]
[M01AH01, celecoxib, The metabolism of Nevirapine can be decreased when combined with Celecoxib.]
[L04AA18, everolimus, The metabolism of Nevirapine can be decreased when combined with Everolimus.]
[N04AC01, benztropine, The metabolism of Benzatropine can be decreased when combined with Nevirapine.]
[L01EC02, dabrafenib, The serum concentration of Nevirapine can be decreased when it is combined with Dabrafenib.]
[P03AX06, benzyl alcohol, The metabolism of Benzyl alcohol can be decreased when combined with Nevirapine.]
[N06AX28, levomilnacipran, The metabolism of Levomilnacipran can be decreased when combined with Nevirapine.]
[J05AJ03, dolutegravir, The serum concentration of Dolutegravir can be decreased when it is combined with Nevirapine.]
[C08EA02, bepridil, The metabolism of Nevirapine can be decreased when combined with Bepridil.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Nevirapine.]
[N06AX26, vortioxetine, The metabolism of Vortioxetine can be increased when combined with Nevirapine.]
[J05AP05, simeprevir, The metabolism of Nevirapine can be decreased when combined with Simeprevir.]
[A10BK01, dapagliflozin, The metabolism of Dapagliflozin can be decreased when combined with Nevirapine.]
[C07AB04, acebutolol, The metabolism of Nevirapine can be decreased when combined with Acebutolol.]
[N05CH03, tasimelteon, The metabolism of Tasimelteon can be decreased when combined with Nevirapine.]
[A16AA07, metreleptin, The metabolism of Nevirapine can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Nevirapine can be increased when combined with Apremilast.]
[S03BA03, betamethasone, The metabolism of Nevirapine can be increased when combined with Betamethasone.]
[S01ED02, betaxolol, The metabolism of Betaxolol can be decreased when combined with Nevirapine.]
[V03AB34, fomepizole, The metabolism of Nevirapine can be decreased when combined with Fomepizole.]
[L04AC11, siltuximab, The metabolism of Nevirapine can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The metabolism of Nevirapine can be decreased when combined with Ceritinib.]
[B01AA07, acenocoumarol, The metabolism of Acenocoumarol can be decreased when combined with Nevirapine.]
[R03AC19, olodaterol, The metabolism of Olodaterol can be decreased when combined with Nevirapine.]
[A16AX10, eliglustat, The metabolism of Nevirapine can be decreased when combined with Eliglustat.]
[J01XA05, oritavancin, The metabolism of Nevirapine can be decreased when combined with Oritavancin.]
[N04AA02, biperiden, The metabolism of Nevirapine can be decreased when combined with Biperiden.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Nevirapine.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Nevirapine.]
[L01XK01, olaparib, The metabolism of Olaparib can be decreased when combined with Nevirapine.]
[B01AA01, dicumarol, The metabolism of Dicoumarol can be decreased when combined with Nevirapine.]
[N06AX11, mirtazapine, The metabolism of Mirtazapine can be decreased when combined with Nevirapine.]
[L04AC10, secukinumab, The metabolism of Nevirapine can be increased when combined with Secukinumab.]
[L01XH03, panobinostat, The metabolism of Nevirapine can be decreased when combined with Panobinostat.]
[J05AP07, daclatasvir, The metabolism of Daclatasvir can be decreased when combined with Nevirapine.]
[N02BE01, acetaminophen, The metabolism of Acetaminophen can be decreased when combined with Nevirapine.]
[J05AP06, asunaprevir, The metabolism of Nevirapine can be decreased when combined with Asunaprevir.]
[N05AX16, brexpiprazole, The metabolism of Brexpiprazole can be decreased when combined with Nevirapine.]
[A04AD14, rolapitant, The metabolism of Nevirapine can be decreased when combined with Rolapitant.]
[A02BC03, lansoprazole, The metabolism of Nevirapine can be decreased when combined with Lansoprazole.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Nevirapine.]
[J02AC05, isavuconazole, The metabolism of Nevirapine can be decreased when combined with Isavuconazole.]
[A10BB31, acetohexamide, The metabolism of Acetohexamide can be decreased when combined with Nevirapine.]
[M04AB05, lesinurad, The metabolism of Lesinurad can be decreased when combined with Nevirapine.]
[J05AP10, elbasvir, The metabolism of Elbasvir can be decreased when combined with Nevirapine.]
[N03AX23, brivaracetam, The metabolism of Brivaracetam can be increased when combined with Nevirapine.]
[L01XX52, venetoclax, The metabolism of Nevirapine can be decreased when combined with Venetoclax.]
[N05BA08, bromazepam, The metabolism of Bromazepam can be decreased when combined with Nevirapine.]
[R06AB01, brompheniramine, The metabolism of Brompheniramine can be increased when combined with Nevirapine.]
[N01BB01, bupivacaine, The metabolism of Bupivacaine can be decreased when combined with Nevirapine.]
[C07AA19, bupranolol, The metabolism of Bupranolol can be decreased when combined with Nevirapine.]
[N07BC01, buprenorphine, The metabolism of Buprenorphine can be decreased when combined with Nevirapine.]
[N05BE01, buspirone, The metabolism of Buspirone can be decreased when combined with Nevirapine.]
