[P02BB01, trichlorfon, The therapeutic efficacy of Quetiapine can be decreased when used in combination with Metrifonate.]
[N02CC04, rizatriptan, Rizatriptan may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[B01AC09, epoprostenol, Quetiapine may increase the hypotensive activities of Epoprostenol.]
[N06AA11, protriptyline, Protriptyline may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[R01BA02, pseudoephedrine, Pseudoephedrine may decrease the sedative and stimulatory activities of Quetiapine.]
[N05AX12, aripiprazole, Quetiapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Aripiprazole.]
[N07XX07, dalfampridine, Quetiapine may decrease the excretion rate of Dalfampridine which could result in a higher serum level.]
[A03AB15, diphemanil, Quetiapine may increase the central nervous system depressant (CNS depressant) activities of Diphemanil.]
[A03AB09, isopropamide, Quetiapine may increase the central nervous system depressant (CNS depressant) activities of Isopropamide.]
[S01FA03, methscopolamine, Quetiapine may increase the central nervous system depressant (CNS depressant) activities of Methscopolamine.]
[N05CA07, talbutal, Talbutal may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N05CA09, vinbarbital, Vinbarbital may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N05BB02, captodiamine, Captodiame may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[M03BA04, styramate, Styramate may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[P02CC01, pyrantel, Pyrantel may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[J04AK01, pyrazinamide, Pyrazinamide may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[N07AA02, pyridostigmine, The therapeutic efficacy of Quetiapine can be decreased when used in combination with Pyridostigmine.]
[R06AC01, pyrilamine, Mepyramine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[P01AX05, quinacrine, The metabolism of Quetiapine can be decreased when combined with Quinacrine.]
[C01BA01, quinidine, Quinidine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Quetiapine.]
[P01BC01, quinine, The metabolism of Quetiapine can be decreased when combined with Quinine.]
[A02BA02, ranitidine, The metabolism of Quetiapine can be decreased when combined with Ranitidine.]
[C02AA01, rescinnamine, Quetiapine may increase the hypotensive activities of Rescinnamine.]
[C02AA02, reserpine, Quetiapine may increase the hypotensive activities of Reserpine.]
[J05AP01, ribavirin, Ribavirin may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[J04AB02, rifampin, The metabolism of Quetiapine can be increased when combined with Rifampicin.]
[R03AC05, rimiterol, The therapeutic efficacy of Rimiterol can be decreased when used in combination with Quetiapine.]
[G02CA01, ritodrine, The therapeutic efficacy of Ritodrine can be decreased when used in combination with Quetiapine.]
[N06AX01, 5-hydroxytryptophan, Oxitriptan may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[J01FA06, roxithromycin, The risk or severity of QTc prolongation can be increased when Roxithromycin is combined with Quetiapine.]
[N02BA05, salicylamide, The risk or severity of hypertension can be increased when Quetiapine is combined with Salicylamide.]
[A07EC01, sulfasalazine, The risk or severity of hypertension can be increased when Sulfasalazine is combined with Quetiapine.]
[S01BC08, salicylic acid, The risk or severity of hypertension can be increased when Salicylic acid is combined with Quetiapine.]
[S01FA02, scopolamine, Scopolamine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N05CA06, secobarbital, Secobarbital may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[V04CK01, secretin, The therapeutic efficacy of Secretin porcine can be decreased when used in combination with Quetiapine.]
[N04BD01, selegiline, The therapeutic efficacy of Selegiline can be decreased when used in combination with Quetiapine.]
[L01FA03, obinutuzumab, The risk or severity of adverse effects can be increased when Quetiapine is combined with Obinutuzumab.]
[J01GB08, sisomicin, Quetiapine may decrease the excretion rate of Sisomicin which could result in a higher serum level.]
[A12CD01, sodium fluoride, Quetiapine may decrease the excretion rate of Sodium fluoride which could result in a higher serum level.]
[V04CC01, sorbitol, The therapeutic efficacy of Sorbitol can be decreased when used in combination with Quetiapine.]
[C07AA07, sotalol, The metabolism of Sotalol can be decreased when combined with Quetiapine.]
[L01CD04, cabazitaxel, The metabolism of Cabazitaxel can be decreased when combined with Quetiapine.]
[C03DA01, spironolactone, Spironolactone may increase the excretion rate of Quetiapine which could result in a lower serum level and potentially a reduction in efficacy.]
[D07AB02, hydrocortisone butyrate, The metabolism of Hydrocortisone butyrate can be decreased when combined with Quetiapine.]
[C01DA14, isosorbide mononitrate, The risk or severity of adverse effects can be increased when Isosorbide mononitrate is combined with Quetiapine.]
[H02CA04, levoketoconazole, The serum concentration of Quetiapine can be increased when it is combined with Levoketoconazole.]
[D10AX03, azelaic acid, Azelaic acid may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[M01AE11, tiaprofenic acid, The risk or severity of hypertension can be increased when Quetiapine is combined with Tiaprofenic acid.]
[C03CC01, ethacrynic acid, Etacrynic acid may increase the excretion rate of Quetiapine which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BB01, ipratropium bromide, The risk or severity of adverse effects can be increased when Quetiapine is combined with Ipratropium.]
