[P02BB01, trichlorfon, The therapeutic efficacy of Imipramine can be decreased when used in combination with Metrifonate.]
[A10BX03, nateglinide, The metabolism of Nateglinide can be decreased when combined with Imipramine.]
[N02BA16, imidazole-2-hydroxybenzoate, The risk or severity of gastrointestinal bleeding can be increased when Imipramine is combined with Imidazole salicylate.]
[H01AC03, mecasermin, Imipramine may decrease the hypoglycemic activities of Mecasermin.]
[A10AE04, insulin glargine, Imipramine may decrease the hypoglycemic activities of Insulin glargine.]
[J01FA15, telithromycin, The metabolism of Imipramine can be decreased when combined with Telithromycin.]
[R03BA08, ciclesonide, The metabolism of Ciclesonide can be decreased when combined with Imipramine.]
[B01AC10, indobufen, The risk or severity of gastrointestinal bleeding can be increased when Imipramine is combined with Indobufen.]
[R06AX27, desloratadine, Desloratadine may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[J05AB14, valganciclovir, Imipramine may decrease the excretion rate of Valganciclovir which could result in a higher serum level.]
[C05BB03, invert sugar, Imipramine may decrease the excretion rate of Invert sugar which could result in a higher serum level.]
[V08AB09, iodixanol, Imipramine may decrease the excretion rate of Iodixanol which could result in a higher serum level.]
[V08AB05, iopromide, Imipramine may decrease the excretion rate of Iopromide which could result in a higher serum level.]
[V08AB07, ioversol, Imipramine may decrease the excretion rate of Ioversol which could result in a higher serum level.]
[V08AB12, ioxilan, Imipramine may decrease the excretion rate of Ioxilan which could result in a higher serum level.]
[M01AH03, valdecoxib, The risk or severity of gastrointestinal bleeding can be increased when Imipramine is combined with Valdecoxib.]
[H01AX01, pegvisomant, The therapeutic efficacy of Imipramine can be decreased when used in combination with Pegvisomant.]
[A03AX10, isometheptene, Imipramine may increase the vasopressor activities of Isometheptene.]
[N02CC05, almotriptan, The metabolism of Almotriptan can be decreased when combined with Imipramine.]
[M01AH04, parecoxib, The risk or severity of gastrointestinal bleeding can be increased when Imipramine is combined with Parecoxib.]
[J02AC02, itraconazole, The metabolism of Imipramine can be decreased when combined with Itraconazole.]
[S01AD03, acyclovir, The metabolism of Acyclovir can be decreased when combined with Imipramine.]
[S01GX06, emedastine, The risk or severity of QTc prolongation can be increased when Imipramine is combined with Emedastine.]
[N05BA10, ketazolam, Ketazolam may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[M01AA06, kebuzone, The risk or severity of gastrointestinal bleeding can be increased when Imipramine is combined with Kebuzone.]
[L01EA01, imatinib, The serum concentration of Imipramine can be increased when it is combined with Imatinib.]
[J02AC04, posaconazole, The metabolism of Imipramine can be decreased when combined with Posaconazole.]
[A02BC05, esomeprazole, The metabolism of Esomeprazole can be decreased when combined with Imipramine.]
[C08CA09, lacidipine, Imipramine may increase the hypotensive activities of Lacidipine.]
[A06AD12, lactitol, The therapeutic efficacy of Lactitol can be decreased when used in combination with Imipramine.]
[N03AX09, lamotrigine, Imipramine may increase the central nervous system depressant (CNS depressant) activities of Lamotrigine.]
[S01GX02, levocabastine, Levocabastine may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[N07BC04, lofexidine, The therapeutic efficacy of Imipramine can be increased when used in combination with Lofexidine.]
[S01AE04, lomefloxacin, The risk or severity of QTc prolongation can be increased when Imipramine is combined with Lomefloxacin.]
[M01AB09, lonazolac, The risk or severity of gastrointestinal bleeding can be increased when Imipramine is combined with Lonazolac.]
[R06AX13, loratadine, Imipramine may increase the anticholinergic activities of Loratadine.]
[N05CD06, lormetazepam, Lormetazepam may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[M02AA31, loxoprofen, The risk or severity of gastrointestinal bleeding can be increased when Imipramine is combined with Loxoprofen.]
[J01DC08, loracarbef, Loracarbef may decrease the excretion rate of Imipramine which could result in a higher serum level.]
[C09AA03, lisinopril, Imipramine may decrease the antihypertensive activities of Lisinopril.]
[A06AD01, magnesium carbonate, The therapeutic efficacy of Magnesium carbonate can be decreased when used in combination with Imipramine.]
[C08CA11, manidipine, The metabolism of Imipramine can be decreased when combined with Manidipine.]
[A03AA04, mebeverine, Imipramine may increase the central nervous system depressant (CNS depressant) activities of Mebeverine.]
[N06AX13, medifoxamine, Medifoxamine may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[A08AA09, mefenorex, The risk or severity of hypertension can be increased when Imipramine is combined with Mefenorex.]
[C07AA14, mepindolol, The metabolism of Mepindolol can be decreased when combined with Imipramine.]
[R06AD07, mequitazine, The metabolism of Mequitazine can be decreased when combined with Imipramine.]
[J01DH02, meropenem, Imipramine may decrease the excretion rate of Meropenem which could result in a higher serum level.]
[C01EB10, adenosine, The risk or severity of QTc prolongation can be increased when Imipramine is combined with Adenosine.]
[N04AA03, methixene, Imipramine may increase the central nervous system depressant (CNS depressant) activities of Metixene.]
[C04AX01, cyclandelate, The risk or severity of hypotension can be increased when Imipramine is combined with Cyclandelate.]
[R03CB02, methoxyphenamine, Methoxyphenamine may decrease the sedative and stimulatory activities of Imipramine.]
[R06AE03, cyclizine, Cyclizine may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[N05CA10, cyclobarbital, Cyclobarbital may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[S01BC10, nepafenac, The risk or severity of gastrointestinal bleeding can be increased when Imipramine is combined with Nepafenac.]
[C03DA04, eplerenone, Eplerenone may increase the excretion rate of Imipramine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AD03, metylperon, The metabolism of Imipramine can be decreased when combined with Melperone.]
[C03AA07, cyclopenthiazide, Cyclopenthiazide may increase the excretion rate of Imipramine which could result in a lower serum level and potentially a reduction in efficacy.]
[A10BF02, miglitol, Imipramine may decrease the hypoglycemic activities of Miglitol.]
[S01FA04, cyclopentolate, The risk or severity of adverse effects can be increased when Imipramine is combined with Cyclopentolate.]
[J05AF07, tenofovir disoproxil, The serum concentration of Imipramine can be increased when it is combined with Tenofovir disoproxil.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be decreased when combined with Imipramine.]
[N06AX07, minaprine, Minaprine may increase the serotonergic activities of Imipramine.]
[J04AB01, cycloserine, Cycloserine may increase the neurotoxic activities of Imipramine.]
[S01XA18, cyclosporine, The metabolism of Imipramine can be decreased when combined with Cyclosporine.]
[N06AG02, moclobemide, Moclobemide may increase the serotonergic activities of Imipramine.]
[N06BA07, modafinil, The metabolism of Imipramine can be decreased when combined with Modafinil.]
[R06AX02, cyproheptadine, Cyproheptadine may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[C09AA13, moexipril, Imipramine may decrease the antihypertensive activities of Moexipril.]
[M02AA02, mofebutazone, The risk or severity of gastrointestinal bleeding can be increased when Imipramine is combined with Mofebutazone.]
[M01AX22, morniflumate, The risk or severity of gastrointestinal bleeding can be increased when Imipramine is combined with Morniflumate.]
[C03XA02, conivaptan, The metabolism of Imipramine can be decreased when combined with Conivaptan.]
[C02AC05, moxonidine, The therapeutic efficacy of Moxonidine can be decreased when used in combination with Imipramine.]
[J05AF10, entecavir, The metabolism of Entecavir can be decreased when combined with Imipramine.]
[G04BE09, vardenafil, The serum concentration of Imipramine can be increased when it is combined with Vardenafil.]
[M01AH05, etoricoxib, The risk or severity of gastrointestinal bleeding can be increased when Imipramine is combined with Etoricoxib.]
[L01AX04, dacarbazine, The metabolism of Dacarbazine can be decreased when combined with Imipramine.]
[L01DA01, dactinomycin, The serum concentration of Imipramine can be increased when it is combined with Dactinomycin.]
[G03XA01, danazol, The metabolism of Imipramine can be decreased when combined with Danazol.]
[M03CA01, dantrolene, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[J04BA02, dapsone, The metabolism of Imipramine can be decreased when combined with Dapsone.]
[N06BX04, deanol, Deanol may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[C02CC04, debrisoquin, The metabolism of Debrisoquine can be decreased when combined with Imipramine.]
[A04AD11, nabilone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[M01AX01, nabumetone, The risk or severity of gastrointestinal bleeding can be increased when Imipramine is combined with Nabumetone.]
[N07BB05, nalmefene, Imipramine may decrease the excretion rate of Nalmefene which could result in a higher serum level.]
