[S02DA03, antipyrine, The metabolism of Pomalidomide can be decreased when combined with Antipyrine.]
[C07AA05, propranolol, The metabolism of Pomalidomide can be decreased when combined with Propranolol.]
[H03BA02, propylthiouracil, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Pomalidomide.]
[N02CC04, rizatriptan, The risk or severity of adverse effects can be increased when Rizatriptan is combined with Pomalidomide.]
[B01AC09, epoprostenol, The risk or severity of bleeding can be increased when Epoprostenol is combined with Pomalidomide.]
[N06AA11, protriptyline, The risk or severity of adverse effects can be increased when Protriptyline is combined with Pomalidomide.]
[N05AX12, aripiprazole, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Aripiprazole.]
[N07XX07, dalfampridine, Dalfampridine may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[A03AB15, diphemanil, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Diphemanil.]
[A03AB09, isopropamide, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Isopropamide.]
[S01FA03, methscopolamine, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Methscopolamine.]
[N05CA07, talbutal, The risk or severity of adverse effects can be increased when Talbutal is combined with Pomalidomide.]
[N05CA09, vinbarbital, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Vinbarbital.]
[N05BB02, captodiamine, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Captodiame.]
[M03BA04, styramate, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Styramate.]
[P02CC01, pyrantel, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Pyrantel.]
[J04AK01, pyrazinamide, Pyrazinamide may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[J06BB05, rabies immune globulin, human, The therapeutic efficacy of Rabies immune globulin, human can be decreased when used in combination with Pomalidomide.]
[R06AC01, pyrilamine, The risk or severity of adverse effects can be increased when Mepyramine is combined with Pomalidomide.]
[C01BA01, quinidine, The serum concentration of Pomalidomide can be increased when it is combined with Quinidine.]
[P01BC01, quinine, The serum concentration of Pomalidomide can be increased when it is combined with Quinine.]
[A02BA02, ranitidine, The metabolism of Pomalidomide can be decreased when combined with Ranitidine.]
[C02AA02, reserpine, The serum concentration of Pomalidomide can be increased when it is combined with Reserpine.]
[J05AP01, ribavirin, Ribavirin may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[J04AB02, rifampin, The serum concentration of Pomalidomide can be decreased when it is combined with Rifampicin.]
[N06AX01, 5-hydroxytryptophan, The risk or severity of adverse effects can be increased when Oxitriptan is combined with Pomalidomide.]
[J01FA06, roxithromycin, The metabolism of Pomalidomide can be decreased when combined with Roxithromycin.]
[N02BA05, salicylamide, Salicylamide may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[A07EC01, sulfasalazine, The risk or severity of adverse effects can be increased when Sulfasalazine is combined with Pomalidomide.]
[S01BC08, salicylic acid, Salicylic acid may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[S01FA02, scopolamine, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Scopolamine.]
[N05CA06, secobarbital, The metabolism of Pomalidomide can be increased when combined with Secobarbital.]
[N04BD01, selegiline, The risk or severity of adverse effects can be increased when Selegiline is combined with Pomalidomide.]
[L01FA03, obinutuzumab, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Obinutuzumab.]
[J01GB08, sisomicin, Pomalidomide may decrease the excretion rate of Sisomicin which could result in a higher serum level.]
[A12CD01, sodium fluoride, Pomalidomide may decrease the excretion rate of Sodium fluoride which could result in a higher serum level.]
[M05BX04, denosumab, The risk or severity of adverse effects can be increased when Denosumab is combined with Pomalidomide.]
[H01CB01, somatostatin, The metabolism of Pomalidomide can be decreased when combined with Somatostatin.]
[V04CC01, sorbitol, Sorbitol may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[L01CD04, cabazitaxel, The risk or severity of adverse effects can be increased when Cabazitaxel is combined with Pomalidomide.]
[L03AX17, sipuleucel-T, The therapeutic efficacy of Sipuleucel-T can be decreased when used in combination with Pomalidomide.]
[C03DA01, spironolactone, Spironolactone may increase the excretion rate of Pomalidomide which could result in a lower serum level and potentially a reduction in efficacy.]
[N03AG01, valproic acid, The metabolism of Pomalidomide can be decreased when combined with Valproic acid.]
[M05BA01, etidronic acid, The risk or severity of jaw osteonecrosis and anti-angiogenesis can be increased when Pomalidomide is combined with Etidronic acid.]
[D07AB02, hydrocortisone butyrate, The metabolism of Pomalidomide can be increased when combined with Hydrocortisone butyrate.]
