[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Rilpivirine.]
[N06AA21, maprotiline, The risk or severity of QTc prolongation can be increased when Maprotiline is combined with Rilpivirine.]
[R06AE05, meclizine, The metabolism of Meclizine can be decreased when combined with Rilpivirine.]
[P01BC02, mefloquine, The risk or severity of QTc prolongation can be increased when Mefloquine is combined with Rilpivirine.]
[N06DX01, memantine, The metabolism of Rilpivirine can be decreased when combined with Memantine.]
[N02AB02, meperidine, The metabolism of Meperidine can be decreased when combined with Rilpivirine.]
[N03AB04, mephenytoin, The metabolism of Mephenytoin can be decreased when combined with Rilpivirine.]
[N03AA01, mephobarbital, The serum concentration of Rilpivirine can be decreased when it is combined with Methylphenobarbital.]
[L02BG01, aminoglutethimide, The serum concentration of Rilpivirine can be decreased when it is combined with Aminoglutethimide.]
[N05AC03, mesoridazine, The metabolism of Mesoridazine can be decreased when combined with Rilpivirine.]
[N05AX13, paliperidone, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Paliperidone.]
[A04AA04, dolasetron, The metabolism of Dolasetron can be decreased when combined with Rilpivirine.]
[N07BC02, methadone, The serum concentration of Methadone can be decreased when it is combined with Rilpivirine.]
[N06BA03, methamphetamine, The metabolism of Metamfetamine can be decreased when combined with Rilpivirine.]
[A03AB07, methantheline, Methantheline can cause a decrease in the absorption of Rilpivirine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[H03BB02, methimazole, The metabolism of Rilpivirine can be decreased when combined with Methimazole.]
[L04AX03, methotrexate, The metabolism of Methotrexate can be decreased when combined with Rilpivirine.]
[N05AA02, methotrimeprazine, The risk or severity of QTc prolongation can be increased when Methotrimeprazine is combined with Rilpivirine.]
[N02BG09, methoxyflurane, The metabolism of Methoxyflurane can be decreased when combined with Rilpivirine.]
[V04CG05, methylene blue, The serum concentration of Rilpivirine can be increased when it is combined with Methylene blue.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be decreased when combined with Rilpivirine.]
[H02AB04, methylprednisolone, The serum concentration of Rilpivirine can be decreased when it is combined with Methylprednisolone.]
[N03AF03, rufinamide, The serum concentration of Rilpivirine can be decreased when it is combined with Rufinamide.]
[G03EK01, methyltestosterone, The metabolism of Methyltestosterone can be decreased when combined with Rilpivirine.]
[N02CA04, methysergide, The metabolism of Methysergide can be decreased when combined with Rilpivirine.]
[A03FA01, metoclopramide, The risk or severity of QTc prolongation can be increased when Metoclopramide is combined with Rilpivirine.]
[C07AB02, metoprolol, The metabolism of Metoprolol can be decreased when combined with Rilpivirine.]
[P01AB01, metronidazole, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Rilpivirine.]
[V04CD01, metyrapone, The serum concentration of Rilpivirine can be decreased when it is combined with Metyrapone.]
[C01BB02, mexiletine, The metabolism of Mexiletine can be decreased when combined with Rilpivirine.]
[N06AX03, mianserin, The metabolism of Mianserin can be decreased when combined with Rilpivirine.]
[S02AA13, miconazole, The metabolism of Rilpivirine can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Rilpivirine.]
[N05CD08, midazolam, The serum concentration of Midazolam can be increased when it is combined with Rilpivirine.]
[G03XB01, mifepristone, The serum concentration of Rilpivirine can be increased when it is combined with Mifepristone.]
[C09CA03, valsartan, The metabolism of Valsartan can be decreased when combined with Rilpivirine.]
[L01XX23, mitotane, The serum concentration of Rilpivirine can be decreased when it is combined with Mitotane.]
[L01DB07, mitoxantrone, Rilpivirine may decrease the excretion rate of Mitoxantrone which could result in a higher serum level.]
[N06BA12, lisdexamfetamine, The metabolism of Lisdexamfetamine can be decreased when combined with Rilpivirine.]
[C01BD01, amiodarone, The serum concentration of Rilpivirine can be increased when it is combined with Amiodarone.]
[N06AA09, amitriptyline, The metabolism of Amitriptyline can be decreased when combined with Rilpivirine.]
[N02AA01, morphine, The metabolism of Morphine can be decreased when combined with Rilpivirine.]
[A04AA05, palonosetron, The metabolism of Palonosetron can be decreased when combined with Rilpivirine.]
[L04AB05, certolizumab pegol, The metabolism of Rilpivirine can be increased when combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The metabolism of Eltrombopag can be decreased when combined with Rilpivirine.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be decreased when combined with Rilpivirine.]
[N05CA02, amobarbital, The serum concentration of Rilpivirine can be decreased when it is combined with Amobarbital.]
[P01BA06, amodiaquine, The risk or severity of QTc prolongation can be increased when Amodiaquine is combined with Rilpivirine.]
[G03XC01, raloxifene, Rilpivirine may decrease the excretion rate of Raloxifene which could result in a higher serum level.]
[N06AA17, amoxapine, The metabolism of Amoxapine can be decreased when combined with Rilpivirine.]
[N03AB05, fosphenytoin, The serum concentration of Rilpivirine can be decreased when it is combined with Fosphenytoin.]
[C07AA12, nadolol, The metabolism of Nadolol can be decreased when combined with Rilpivirine.]
[J01CF06, nafcillin, The serum concentration of Rilpivirine can be decreased when it is combined with Nafcillin.]
[V03AB15, naloxone, The metabolism of Rilpivirine can be decreased when combined with Naloxone.]
[L04AC03, anakinra, The metabolism of Rilpivirine can be increased when combined with Anakinra.]
[N06BA01, amphetamine, The metabolism of Amphetamine can be decreased when combined with Rilpivirine.]
[M02AA12, naproxen, The metabolism of Naproxen can be decreased when combined with Rilpivirine.]
[A10BG01, troglitazone, The serum concentration of Rilpivirine can be decreased when it is combined with Troglitazone.]
[N06AX21, duloxetine, The metabolism of Duloxetine can be decreased when combined with Rilpivirine.]
[L01CD02, docetaxel, The metabolism of Docetaxel can be decreased when combined with Rilpivirine.]
[L02BG04, letrozole, The metabolism of Rilpivirine can be decreased when combined with Letrozole.]
[A10BX02, repaglinide, The metabolism of Repaglinide can be decreased when combined with Rilpivirine.]
[C01CX08, levosimendan, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Levosimendan.]
[N05AX14, iloperidone, The metabolism of Iloperidone can be decreased when combined with Rilpivirine.]
[N06AX23, desvenlafaxine, The metabolism of Rilpivirine can be decreased when combined with Desvenlafaxine.]
[C09CA07, telmisartan, The metabolism of Rilpivirine can be decreased when combined with Telmisartan.]
[C08CA04, nicardipine, The serum concentration of Rilpivirine can be increased when it is combined with Nicardipine.]
[C04AE02, nicergoline, The metabolism of Nicergoline can be decreased when combined with Rilpivirine.]
[P02DA01, niclosamide, The metabolism of Niclosamide can be decreased when combined with Rilpivirine.]
[N07BA01, nicotine, The metabolism of Nicotine can be decreased when combined with Rilpivirine.]
[C08CA05, nifedipine, The serum concentration of Rilpivirine can be decreased when it is combined with Nifedipine.]
[C08CA06, nimodipine, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Nimodipine.]
[C08CA08, nitrendipine, The risk or severity of QTc prolongation can be increased when Nitrendipine is combined with Rilpivirine.]
[J01XE01, nitrofurantoin, Rilpivirine may decrease the excretion rate of Nitrofurantoin which could result in a higher serum level.]
[G03DC02, norethindrone, The metabolism of Norethisterone can be decreased when combined with Rilpivirine.]
[S01AE02, norfloxacin, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Rilpivirine.]
[C02KX01, bosentan, The serum concentration of Rilpivirine can be decreased when it is combined with Bosentan.]
[N06AA10, nortriptyline, The metabolism of Nortriptyline can be decreased when combined with Rilpivirine.]
[H01CB02, octreotide, The risk or severity of QTc prolongation can be increased when Octreotide is combined with Rilpivirine.]
[S02AA16, ofloxacin, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Ofloxacin.]
[L04AC04, rilonacept, The metabolism of Rilpivirine can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, Omeprazole can cause a decrease in the absorption of Rilpivirine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N02AA02, opium, The metabolism of Opium can be decreased when combined with Rilpivirine.]
[G04CA02, tamsulosin, The metabolism of Tamsulosin can be decreased when combined with Rilpivirine.]
[C01AC01, ouabain, The excretion of Ouabain can be decreased when combined with Rilpivirine.]
[J01MB05, oxolinic acid, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Oxolinic acid.]
[C07AA02, oxprenolol, The metabolism of Oxprenolol can be decreased when combined with Rilpivirine.]
[N02AA05, oxycodone, The metabolism of Oxycodone can be decreased when combined with Rilpivirine.]
[N02AA11, oxymorphone, The metabolism of Oxymorphone can be decreased when combined with Rilpivirine.]
[H01BB02, oxytocin, The risk or severity of QTc prolongation can be increased when Oxytocin is combined with Rilpivirine.]
[N05AH05, asenapine, Asenapine can cause a decrease in the absorption of Rilpivirine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[G04BE02, papaverine, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Papaverine.]
[H02AB05, paramethasone, The serum concentration of Rilpivirine can be decreased when it is combined with Paramethasone.]
[J01MA03, pefloxacin, The risk or severity of QTc prolongation can be increased when Pefloxacin is combined with Rilpivirine.]
[G04BD11, fesoterodine, The metabolism of Fesoterodine can be decreased when combined with Rilpivirine.]
[C07AA23, penbutolol, The metabolism of Penbutolol can be decreased when combined with Rilpivirine.]
[N05AG03, penfluridol, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Penfluridol.]
[M01CC01, penicillamine, The excretion of Penicillamine can be decreased when combined with Rilpivirine.]
[S01AA14, penicillin G, The excretion of Benzylpenicillin can be decreased when combined with Rilpivirine.]
[N05CA01, pentobarbital, The serum concentration of Rilpivirine can be decreased when it is combined with Pentobarbital.]
[C08EX02, perhexiline, The metabolism of Perhexiline can be decreased when combined with Rilpivirine.]
[N05AB03, perphenazine, The metabolism of Perphenazine can be decreased when combined with Rilpivirine.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Rilpivirine.]
[A10BA01, phenformin, The metabolism of Phenformin can be decreased when combined with Rilpivirine.]
