[P02BB01, trichlorfon, The therapeutic efficacy of Clozapine can be decreased when used in combination with Metrifonate.]
[M03AC05, hexafluorenium, Hexafluronium may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[M04AC01, colchicine, The metabolism of Colchicine can be decreased when combined with Clozapine.]
[A03AB10, hexocyclium, Clozapine may increase the central nervous system depressant (CNS depressant) activities of Hexocyclium.]
[S01FA05, homatropine, The risk or severity of adverse effects can be increased when Clozapine is combined with Homatropine.]
[A03BB06, homatropine methylbromide, Clozapine may increase the central nervous system depressant (CNS depressant) activities of Homatropine methylbromide.]
[J01XB01, colistin, Clozapine may decrease the excretion rate of Colistin which could result in a higher serum level.]
[J01DE02, cefpirome, Cefpirome may decrease the excretion rate of Clozapine which could result in a higher serum level.]
[L04AA13, leflunomide, The serum concentration of Clozapine can be decreased when it is combined with Leflunomide.]
[N01AB07, desflurane, Desflurane may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[A04AA03, tropisetron, Tropisetron may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[C04AX28, ifenprodil, The therapeutic efficacy of Ifenprodil can be decreased when used in combination with Clozapine.]
[A10BX03, nateglinide, The metabolism of Nateglinide can be decreased when combined with Clozapine.]
[N02BA16, imidazole-2-hydroxybenzoate, The risk or severity of hypertension can be increased when Clozapine is combined with Imidazole salicylate.]
[H01AC03, mecasermin, The therapeutic efficacy of Mecasermin can be decreased when used in combination with Clozapine.]
[L01BB07, nelarabine, The risk or severity of neutropenia can be increased when Nelarabine is combined with Clozapine.]
[A10AE04, insulin glargine, The therapeutic efficacy of Insulin glargine can be decreased when used in combination with Clozapine.]
[J01FA15, telithromycin, The metabolism of Clozapine can be decreased when combined with Telithromycin.]
[R03BA08, ciclesonide, The metabolism of Ciclesonide can be decreased when combined with Clozapine.]
[B01AC10, indobufen, The risk or severity of hypertension can be increased when Clozapine is combined with Indobufen.]
[R06AX27, desloratadine, Desloratadine may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[J05AB14, valganciclovir, Clozapine may decrease the excretion rate of Valganciclovir which could result in a higher serum level.]
[C05BB03, invert sugar, Clozapine may decrease the excretion rate of Invert sugar which could result in a higher serum level.]
[V08AB09, iodixanol, Clozapine may decrease the excretion rate of Iodixanol which could result in a higher serum level.]
[V08AB05, iopromide, Clozapine may decrease the excretion rate of Iopromide which could result in a higher serum level.]
[V08AB07, ioversol, Clozapine may decrease the excretion rate of Ioversol which could result in a higher serum level.]
[V08AB12, ioxilan, Clozapine may decrease the excretion rate of Ioxilan which could result in a higher serum level.]
[M01AH03, valdecoxib, The metabolism of Valdecoxib can be decreased when combined with Clozapine.]
[H01AX01, pegvisomant, The therapeutic efficacy of Clozapine can be decreased when used in combination with Pegvisomant.]
[A03AX10, isometheptene, The therapeutic efficacy of Isometheptene can be decreased when used in combination with Clozapine.]
[N02CC05, almotriptan, The metabolism of Almotriptan can be decreased when combined with Clozapine.]
[M01AH04, parecoxib, The metabolism of Parecoxib can be decreased when combined with Clozapine.]
[J02AC02, itraconazole, The metabolism of Clozapine can be decreased when combined with Itraconazole.]
[S01AD03, acyclovir, The metabolism of Acyclovir can be decreased when combined with Clozapine.]
[S01GX06, emedastine, The risk or severity of QTc prolongation can be increased when Clozapine is combined with Emedastine.]
[N05BA10, ketazolam, The risk or severity of adverse effects can be increased when Ketazolam is combined with Clozapine.]
[M01AA06, kebuzone, The risk or severity of hypertension can be increased when Clozapine is combined with Kebuzone.]
[L01EA01, imatinib, The serum concentration of Clozapine can be increased when it is combined with Imatinib.]
[J02AC04, posaconazole, The metabolism of Clozapine can be decreased when combined with Posaconazole.]
[A02BC05, esomeprazole, The metabolism of Esomeprazole can be decreased when combined with Clozapine.]
[C08CA09, lacidipine, Clozapine may increase the hypotensive activities of Lacidipine.]
[A06AD12, lactitol, The therapeutic efficacy of Lactitol can be decreased when used in combination with Clozapine.]
[N03AX09, lamotrigine, Clozapine may increase the central nervous system depressant (CNS depressant) activities of Lamotrigine.]
[S01GX02, levocabastine, Levocabastine may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[N07BC04, lofexidine, The therapeutic efficacy of Clozapine can be increased when used in combination with Lofexidine.]
[S01AE04, lomefloxacin, The risk or severity of QTc prolongation can be increased when Clozapine is combined with Lomefloxacin.]
[M01AB09, lonazolac, The risk or severity of hypertension can be increased when Clozapine is combined with Lonazolac.]
[R06AX13, loratadine, The metabolism of Loratadine can be decreased when combined with Clozapine.]
[N05CD06, lormetazepam, The risk or severity of adverse effects can be increased when Lormetazepam is combined with Clozapine.]
[M02AA31, loxoprofen, The risk or severity of hypertension can be increased when Clozapine is combined with Loxoprofen.]
[J01DC08, loracarbef, Loracarbef may decrease the excretion rate of Clozapine which could result in a higher serum level.]
[C09AA03, lisinopril, Clozapine may decrease the antihypertensive activities of Lisinopril.]
[A06AD01, magnesium carbonate, The therapeutic efficacy of Magnesium carbonate can be decreased when used in combination with Clozapine.]
[C08CA11, manidipine, The metabolism of Clozapine can be decreased when combined with Manidipine.]
[A03AA04, mebeverine, Clozapine may increase the central nervous system depressant (CNS depressant) activities of Mebeverine.]
[N06AX13, medifoxamine, Medifoxamine may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[A08AA09, mefenorex, The risk or severity of hypertension can be increased when Clozapine is combined with Mefenorex.]
[C07AA14, mepindolol, The metabolism of Mepindolol can be decreased when combined with Clozapine.]
[H02AB15, meprednisone, The metabolism of Meprednisone can be decreased when combined with Clozapine.]
[R06AD07, mequitazine, Clozapine may increase the arrhythmogenic activities of Mequitazine.]
[J01DH02, meropenem, Clozapine may decrease the excretion rate of Meropenem which could result in a higher serum level.]
[C01EB10, adenosine, The risk or severity of QTc prolongation can be increased when Clozapine is combined with Adenosine.]
[N04AA03, methixene, The therapeutic efficacy of Metixene can be decreased when used in combination with Clozapine.]
[C04AX01, cyclandelate, The risk or severity of hypotension can be increased when Clozapine is combined with Cyclandelate.]
[R03CB02, methoxyphenamine, Methoxyphenamine may decrease the sedative and stimulatory activities of Clozapine.]
[R06AE03, cyclizine, Cyclizine may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[N05CA10, cyclobarbital, Cyclobarbital may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[C03DA04, eplerenone, The metabolism of Eplerenone can be decreased when combined with Clozapine.]
[N05AD03, metylperon, Melperone may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[C03AA07, cyclopenthiazide, Cyclopenthiazide may increase the excretion rate of Clozapine which could result in a lower serum level and potentially a reduction in efficacy.]
[J01FA03, midecamycin, The metabolism of Midecamycin can be decreased when combined with Clozapine.]
[A10BF02, miglitol, The therapeutic efficacy of Miglitol can be decreased when used in combination with Clozapine.]
[S01FA04, cyclopentolate, The risk or severity of adverse effects can be increased when Clozapine is combined with Cyclopentolate.]
[J05AF07, tenofovir disoproxil, Tenofovir disoproxil may decrease the excretion rate of Clozapine which could result in a higher serum level.]
[L01AA01, cyclophosphamide, The risk or severity of neutropenia can be increased when Cyclophosphamide is combined with Clozapine.]
[N06AX07, minaprine, The metabolism of Minaprine can be decreased when combined with Clozapine.]
[J04AB01, cycloserine, Cycloserine may increase the neurotoxic activities of Clozapine.]
[S01XA18, cyclosporine, The metabolism of Clozapine can be decreased when combined with Cyclosporine.]
[N06AG02, moclobemide, The metabolism of Moclobemide can be decreased when combined with Clozapine.]
[N06BA07, modafinil, The metabolism of Clozapine can be increased when combined with Armodafinil.]
[R06AX02, cyproheptadine, Clozapine may increase the central nervous system depressant (CNS depressant) activities of Cyproheptadine.]
[C09AA13, moexipril, Clozapine may decrease the antihypertensive activities of Moexipril.]
[C10AA07, rosuvastatin, The metabolism of Rosuvastatin can be decreased when combined with Clozapine.]
[M02AA02, mofebutazone, The risk or severity of hypertension can be increased when Clozapine is combined with Mofebutazone.]
[M01AX22, morniflumate, The risk or severity of hypertension can be increased when Clozapine is combined with Morniflumate.]
[C03XA02, conivaptan, The metabolism of Clozapine can be decreased when combined with Conivaptan.]
[C02AC05, moxonidine, The therapeutic efficacy of Moxonidine can be decreased when used in combination with Clozapine.]
[L01BC01, cytarabine, The risk or severity of neutropenia can be increased when Cytarabine is combined with Clozapine.]
[J05AF10, entecavir, The metabolism of Entecavir can be decreased when combined with Clozapine.]
[G04BE09, vardenafil, The metabolism of Vardenafil can be decreased when combined with Clozapine.]
[M01AH05, etoricoxib, The metabolism of Etoricoxib can be decreased when combined with Clozapine.]
[L01AX04, dacarbazine, The risk or severity of neutropenia can be increased when Dacarbazine is combined with Clozapine.]
