[S02DA03, antipyrine, Antipyrine may increase the neuroexcitatory activities of Levofloxacin.]
[C01BG01, moricizine, The risk or severity of QTc prolongation can be increased when Moricizine is combined with Levofloxacin.]
[L03AX05, pidotimod, Levofloxacin may decrease the excretion rate of Pidotimod which could result in a higher serum level.]
[S01AA17, erythromycin, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Levofloxacin.]
[N05CD04, estazolam, Levofloxacin may decrease the excretion rate of Estazolam which could result in a higher serum level.]
[A02BC02, pantoprazole, Pantoprazole may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[G03CA03, estradiol, Estradiol may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[J04AK02, ethambutol, Ethambutol may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[R03BA09, fluticasone furoate, The risk or severity of tendinopathy can be increased when Fluticasone furoate is combined with Levofloxacin.]
[R03BA05, fluticasone, The risk or severity of tendinopathy can be increased when Fluticasone is combined with Levofloxacin.]
[V08CA03, gadodiamide, Gadodiamide may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[C01BD05, ibutilide, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Ibutilide.]
[N03AD01, ethosuximide, The risk or severity of QTc prolongation can be increased when Ethosuximide is combined with Levofloxacin.]
[N01BX01, ethyl chloride, The risk or severity of methemoglobinemia can be increased when Levofloxacin is combined with Ethyl chloride.]
[M01AC06, meloxicam, The risk or severity of methemoglobinemia can be increased when Levofloxacin is combined with Meloxicam.]
[N01BB07, etidocaine, The risk or severity of methemoglobinemia can be increased when Levofloxacin is combined with Etidocaine.]
[N01AX07, etomidate, Etomidate may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[C01BA05, ajmaline, The risk or severity of QTc prolongation can be increased when Ajmaline is combined with Levofloxacin.]
[L04AD02, tacrolimus, The risk or severity of QTc prolongation can be increased when Tacrolimus is combined with Levofloxacin.]
[J01MA08, fleroxacin, The risk or severity of QTc prolongation can be increased when Fleroxacin is combined with Levofloxacin.]
[R06AX11, astemizole, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Astemizole.]
[R06AX12, terfenadine, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Terfenadine.]
[P01AX07, trimetrexate, Levofloxacin may decrease the excretion rate of Trimetrexate which could result in a higher serum level.]
[N06AX12, bupropion, Levofloxacin may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[N06AB08, fluvoxamine, Fluvoxamine may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[C01BC08, encainide, The risk or severity of QTc prolongation can be increased when Encainide is combined with Levofloxacin.]
[L02AE02, leuprolide, The risk or severity of QTc prolongation can be increased when Leuprolide is combined with Levofloxacin.]
[C10AA03, pravastatin, The excretion of Levofloxacin can be decreased when combined with Pravastatin.]
[M01CB01, gold sodium thiomalate, Levofloxacin may decrease the excretion rate of Sodium aurothiomalate which could result in a higher serum level.]
[B05AA05, dextran, Levofloxacin may decrease the excretion rate of Dextran which could result in a higher serum level.]
[V03AF02, dexrazoxane, Dexrazoxane may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[A02BA03, famotidine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Levofloxacin.]
[A16AA01, levocarnitine, Levocarnitine may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[C08CA02, felodipine, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Levofloxacin.]
[C08EA01, fendiline, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Fendiline.]
[M01AE04, fenoprofen, Fenoprofen may increase the neuroexcitatory activities of Levofloxacin.]
[N02AB03, fentanyl, Fentanyl may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[R03CC02, albuterol, The risk or severity of QTc prolongation can be increased when Salbutamol is combined with Levofloxacin.]
[L01BB06, clofarabine, Clofarabine may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[N07AX03, cevimeline, Cevimeline may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[G04BD02, flavoxate, Levofloxacin may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[C01BC04, flecainide, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Flecainide.]
[N02BG04, floctafenine, Floctafenine may increase the neuroexcitatory activities of Levofloxacin.]
[J01CF05, floxacillin, The serum concentration of Levofloxacin can be increased when it is combined with Flucloxacillin.]
[J02AC01, fluconazole, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Levofloxacin.]
[J02AX01, flucytosine, Flucytosine may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[H02AA02, fludrocortisone, The risk or severity of tendinopathy can be increased when Fludrocortisone is combined with Levofloxacin.]
[V03AB25, flumazenil, Levofloxacin may decrease the excretion rate of Flumazenil which could result in a higher serum level.]
[D07XB01, flumethasone, The risk or severity of tendinopathy can be increased when Flumethasone is combined with Levofloxacin.]
[D07AC08, fluocinonide, The risk or severity of tendinopathy can be increased when Fluocinonide is combined with Levofloxacin.]
[H02AB03, fluocortolone, The risk or severity of tendinopathy can be increased when Fluocortolone is combined with Levofloxacin.]
[L01BC09, floxuridine, Floxuridine may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[L01BC02, fluorouracil, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Levofloxacin.]
[N06AB03, fluoxetine, The risk or severity of QTc prolongation can be increased when Fluoxetine is combined with Levofloxacin.]
[N05AF01, flupenthixol, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Flupentixol.]
[N05CD01, flurazepam, Flurazepam may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[S01BC04, flurbiprofen, Flurbiprofen may increase the neuroexcitatory activities of Levofloxacin.]
[N05AG01, fluspirilene, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Fluspirilene.]
[L02BB01, flutamide, Flutamide may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[V04CX02, folic acid, Folic acid may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[S02AA17, fosfomycin, Fosfomycin may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[S01AA07, framycetin, Framycetin may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[L01BC03, tegafur, Levofloxacin may decrease the excretion rate of Tegafur which could result in a higher serum level.]
[C03CA01, furosemide, Furosemide may increase the excretion rate of Levofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CF04, eszopiclone, Eszopiclone may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[N05AL05, amisulpride, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Amisulpride.]
[N06DA04, galantamine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Levofloxacin.]
[C08DA02, gallopamil, The risk or severity of QTc prolongation can be increased when Gallopamil is combined with Levofloxacin.]
[S01AD09, ganciclovir, Ganciclovir may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[C10AB04, gemfibrozil, Levofloxacin may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[J01XA03, telavancin, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Telavancin.]
[L02BX02, degarelix, The risk or severity of QTc prolongation can be increased when Degarelix is combined with Levofloxacin.]
[L01EA02, dasatinib, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Levofloxacin.]
[C01CA21, cafedrine, The metabolism of Cafedrine can be decreased when combined with Levofloxacin.]
[A10BJ02, liraglutide, The therapeutic efficacy of Liraglutide can be increased when used in combination with Levofloxacin.]
[N03AD03, methsuximide, The risk or severity of QTc prolongation can be increased when Methsuximide is combined with Levofloxacin.]
[L01EH01, lapatinib, The risk or severity of QTc prolongation can be increased when Lapatinib is combined with Levofloxacin.]
[A10BB01, glyburide, The therapeutic efficacy of Glyburide can be increased when used in combination with Levofloxacin.]
[A10BB09, gliclazide, The therapeutic efficacy of Gliclazide can be increased when used in combination with Levofloxacin.]
[A10BB07, glipizide, The therapeutic efficacy of Glipizide can be increased when used in combination with Levofloxacin.]
[N05CM18, dexmedetomidine, Dexmedetomidine may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[C01BD04, dofetilide, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Dofetilide.]
[L01EX02, sorafenib, The risk or severity of QTc prolongation can be increased when Sorafenib is combined with Levofloxacin.]
[C07AB09, esmolol, The risk or severity of QTc prolongation can be increased when Esmolol is combined with Levofloxacin.]
[M01CB04, aurothioglucose, Levofloxacin may decrease the excretion rate of Aurothioglucose which could result in a higher serum level.]
