[P02BB01, trichlorfon, The therapeutic efficacy of Quinidine can be decreased when used in combination with Metrifonate.]
[L01EN04, futibatinib, The serum concentration of Futibatinib can be increased when it is combined with Quinidine.]
[A10BK06, sotagliflozin, The serum concentration of Quinidine can be increased when it is combined with Sotagliflozin.]
[J01GB12, arbekacin, Arbekacin may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[N05BA13, halazepam, Halazepam may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[H01AC08, somatrogon, The metabolism of Quinidine can be increased when combined with Somatrogon.]
[S02DA02, cocaine, The risk or severity of methemoglobinemia can be increased when Quinidine is combined with Cocaine.]
[C02KB01, metyrosine, Quinidine may decrease the antihypertensive activities of Metyrosine.]
[L04AC21, bimekizumab, The metabolism of Quinidine can be increased when combined with Bimekizumab.]
[M01AX13, proquazone, Proquazone may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[R05DA04, codeine, The risk or severity of adverse effects can be increased when Quinidine is combined with Codeine.]
[M03AC05, hexafluorenium, Hexafluronium may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[M04AC01, colchicine, The serum concentration of Colchicine can be increased when it is combined with Quinidine.]
[A03AB10, hexocyclium, The risk or severity of adverse effects can be increased when Quinidine is combined with Hexocyclium.]
[A03BB06, homatropine methylbromide, The risk or severity of adverse effects can be increased when Homatropine methylbromide is combined with Quinidine.]
[S01FA05, homatropine, The risk or severity of adverse effects can be increased when Quinidine is combined with Homatropine.]
[J01XB01, colistin, Colistin may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[J01DE02, cefpirome, Cefpirome may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[L04AA13, leflunomide, The metabolism of Leflunomide can be decreased when combined with Quinidine.]
[C01BA13, hydroquinidine, Quinidine may increase the arrhythmogenic activities of Hydroquinidine.]
[A02AD04, hydrotalcite, Hydrotalcite may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[N01AB07, desflurane, Desflurane may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[A04AA03, tropisetron, Quinidine may increase the arrhythmogenic activities of Tropisetron.]
[C04AX28, ifenprodil, Ifenprodil may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[A10BX03, nateglinide, The metabolism of Quinidine can be decreased when combined with Nateglinide.]
[N02BA16, imidazole-2-hydroxybenzoate, Imidazole salicylate may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[J01FA15, telithromycin, The metabolism of Quinidine can be decreased when combined with Telithromycin.]
[R03BA08, ciclesonide, The metabolism of Ciclesonide can be decreased when combined with Quinidine.]
[B01AC10, indobufen, Indobufen may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[R06AX27, desloratadine, The risk or severity of QTc prolongation can be increased when Desloratadine is combined with Quinidine.]
[J05AB14, valganciclovir, Valganciclovir may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[C05BB03, invert sugar, Invert sugar may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[V08AB09, iodixanol, Iodixanol may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[V08AB05, iopromide, Iopromide may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[V08AB07, ioversol, Ioversol may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[V08AB12, ioxilan, Ioxilan may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[M01AH03, valdecoxib, Valdecoxib may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[H01AX01, pegvisomant, The therapeutic efficacy of Quinidine can be decreased when used in combination with Pegvisomant.]
[C01AA06, lanatoside C, The serum concentration of Lanatoside C can be increased when it is combined with Quinidine.]
[A03AX10, isometheptene, The therapeutic efficacy of Isometheptene can be decreased when used in combination with Quinidine.]
[N02CC05, almotriptan, The metabolism of Almotriptan can be decreased when combined with Quinidine.]
[M01AH04, parecoxib, Parecoxib may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[J02AC02, itraconazole, The metabolism of Quinidine can be decreased when combined with Itraconazole.]
[B01AB12, bemiparin, The therapeutic efficacy of Bemiparin can be increased when used in combination with Quinidine.]
[S01AD03, acyclovir, The metabolism of Acyclovir can be decreased when combined with Quinidine.]
[S01GX06, emedastine, The risk or severity of QTc prolongation can be increased when Emedastine is combined with Quinidine.]
[N05BA10, ketazolam, The metabolism of Quinidine can be decreased when combined with Ketazolam.]
[M01AA06, kebuzone, Kebuzone may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[L01EA01, imatinib, The serum concentration of Quinidine can be increased when it is combined with Imatinib.]
[J02AC04, posaconazole, The metabolism of Quinidine can be decreased when combined with Posaconazole.]
[C08CA09, lacidipine, Quinidine may increase the arrhythmogenic activities of Lacidipine.]
[A06AD12, lactitol, The therapeutic efficacy of Lactitol can be decreased when used in combination with Quinidine.]
[N03AX09, lamotrigine, Lamotrigine may increase the arrhythmogenic activities of Quinidine.]
[S01GX02, levocabastine, Levocabastine may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[S01BA03, cortisone, The metabolism of Quinidine can be increased when combined with Cortisone.]
[N07BC04, lofexidine, The risk or severity of QTc prolongation can be increased when Lofexidine is combined with Quinidine.]
[S01AE04, lomefloxacin, The risk or severity of QTc prolongation can be increased when Lomefloxacin is combined with Quinidine.]
[M01AB09, lonazolac, Lonazolac may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[R06AX13, loratadine, Quinidine may decrease the excretion rate of Loratadine which could result in a higher serum level.]
[N05CD06, lormetazepam, Lormetazepam may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[M02AA31, loxoprofen, Loxoprofen may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[J01DC08, loracarbef, Loracarbef may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[C09AA03, lisinopril, Lisinopril may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[A02AD02, magaldrate, Magaldrate may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[A06AD01, magnesium carbonate, Magnesium carbonate may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[B05XA10, magnesium phosphate, The risk or severity of neuromuscular blockade can be increased when Quinidine is combined with Magnesium phosphate.]
[C08CA11, manidipine, Quinidine may increase the arrhythmogenic activities of Manidipine.]
[A03AA04, mebeverine, The risk or severity of adverse effects can be increased when Quinidine is combined with Mebeverine.]
[N06AX13, medifoxamine, Medifoxamine may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[A08AA09, mefenorex, The risk or severity of hypertension can be increased when Quinidine is combined with Mefenorex.]
[C07AA14, mepindolol, The metabolism of Mepindolol can be decreased when combined with Quinidine.]
[H02AB15, meprednisone, The metabolism of Quinidine can be increased when combined with Meprednisone.]
[R06AD07, mequitazine, The metabolism of Quinidine can be decreased when combined with Mequitazine.]
[J01DH02, meropenem, Meropenem may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[C01EB10, adenosine, Adenosine may increase the arrhythmogenic activities of Quinidine.]
[N04AA03, methixene, The risk or severity of adverse effects can be increased when Metixene is combined with Quinidine.]
[C04AX01, cyclandelate, Quinidine may increase the arrhythmogenic activities of Cyclandelate.]
[R03CB02, methoxyphenamine, The therapeutic efficacy of Quinidine can be decreased when used in combination with Methoxyphenamine.]
[R06AE03, cyclizine, Cyclizine may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[N05CA10, cyclobarbital, Cyclobarbital may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[C03DA04, eplerenone, The metabolism of Quinidine can be decreased when combined with Eplerenone.]
[N05AD03, metylperon, Quinidine may increase the arrhythmogenic activities of Melperone.]
[C03AA07, cyclopenthiazide, Cyclopenthiazide may increase the excretion rate of Quinidine which could result in a lower serum level and potentially a reduction in efficacy.]
[J01FA03, midecamycin, The serum concentration of Quinidine can be increased when it is combined with Midecamycin.]
[S01FA04, cyclopentolate, The risk or severity of adverse effects can be increased when Quinidine is combined with Cyclopentolate.]
[J05AF07, tenofovir disoproxil, Tenofovir disoproxil may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[L01AA01, cyclophosphamide, The metabolism of Quinidine can be increased when combined with Cyclophosphamide.]
[N06AX07, minaprine, The metabolism of Minaprine can be decreased when combined with Quinidine.]
[S01XA18, cyclosporine, The serum concentration of Quinidine can be increased when it is combined with Cyclosporine.]
