[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Resveratrol.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Selumetinib can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Dichlorobenzyl alcohol which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Dienogest which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Rofecoxib.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Clevidipine which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The excretion of Conjugated estrogens can be decreased when combined with Dronedarone.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Clorazepic acid which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Clorazepic acid which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The therapeutic efficacy of Thyroid, porcine can be decreased when used in combination with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Sacituzumab govitecan.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Sacituzumab govitecan.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Tucatinib can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The serum concentration of Conjugated estrogens can be increased when it is combined with Capmatinib.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Opicapone.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Doxacurium which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Talniflumate may increase the thrombogenic activities of Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Droxicam may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The metabolism of 8-chlorotheophylline can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the anticoagulant activities of Semuloparin.]
[G03CA57, estrogens, conjugated (USP), Ripretinib may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Mangafodipir which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the anticoagulant activities of Lepirudin.]
[G03CA57, estrogens, conjugated (USP), The excretion of Levosalbutamol can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Dexketoprofen may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Inebilizumab.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Inebilizumab.]
[G03CA57, estrogens, conjugated (USP), Fostemsavir may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Tafasitamab.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Tafasitamab.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Belantamab mafodotin.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Belantamab mafodotin.]
[G03CA57, estrogens, conjugated (USP), The serum concentration of Conjugated estrogens can be decreased when it is combined with Satralizumab.]
[G03CA57, estrogens, conjugated (USP), The serum concentration of Conjugated estrogens can be decreased when it is combined with Satralizumab.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Pralsetinib may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Chlorothiazide may increase the excretion rate of Conjugated estrogens which could result in a lower serum level and potentially a reduction in efficacy.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Chlorpromazine can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Chlorthalidone may increase the excretion rate of Conjugated estrogens which could result in a lower serum level and potentially a reduction in efficacy.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Chlorzoxazone can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Enrofloxacin.]
[G03CA57, estrogens, conjugated (USP), The excretion of Cholecystokinin can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Cholesterol may increase the excretion rate of Conjugated estrogens which could result in a lower serum level and potentially a reduction in efficacy.]
[G03CA57, estrogens, conjugated (USP), Ethenzamide may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Choline C 11 which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Choline salicylate which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Etodolac may increase the thrombogenic activities of Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The therapeutic efficacy of Etofenamate can be decreased when used in combination with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Atoltivimab.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Maftivimab.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Odesivimab.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Odesivimab.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Bamlanivimab.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Casirivimab.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Imdevimab.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Berotralstat.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Lonafarnib.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Ansuvimab.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Ansuvimab.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Chondroitin sulfate which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Margetuximab.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Margetuximab.]
[G03CA57, estrogens, conjugated (USP), The excretion of Conjugated estrogens can be decreased when combined with Cabotegravir.]
[G03CA57, estrogens, conjugated (USP), The serum concentration of Conjugated estrogens can be increased when it is combined with Abametapir.]
[G03CA57, estrogens, conjugated (USP), Tepotinib may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be increased when combined with Trilaciclib.]
[G03CA57, estrogens, conjugated (USP), Fenbufen may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Fenethylline can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Fenoldopam which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Fenproporex which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Chromium which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The excretion of Cefdinir can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Flumequine.]
[G03CA57, estrogens, conjugated (USP), The serum concentration of Flunisolide can be increased when it is combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The serum concentration of Flunisolide can be increased when it is combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Flunixin may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The excretion of Fluorescein can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Flupirtine which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Synthetic Conjugated Estrogens, A which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The therapeutic efficacy of Insulin human can be decreased when used in combination with Conjugated estrogens.]
